created_at,full_text,id_str
12/02/2025,malaysia kena perketatkan sempdan konoha nak kabur ni,7181590254797161478
11/02/2025,"urusan negara sendiri, urusan kami sendiri #kaburajadulu",6702798392927945730
12/02/2025,ini bukan soal fomo tapi soal menyelamatkan diri,6704570220360926209
12/02/2025,"Old
#DiRumahAja
New
#KaburAjaDulu",7221047724106777601
11/02/2025,takutnya yang pinter pinter yang kabur😫,7161744452780344325
13/02/2025,dah kenapa pulak Konoha ni,7391824426294199313
10/02/2025,"""#kaburajadulu""
tapi malah masuk black market kamboja🗿",6759852600197891073
12/02/2025,nanti deh gue #kaburajadulu nya.. nunggu ada duit😭,7121578305522336794
12/02/2025,"nasionalisme gk penting yg penting bisa hidup aman, tentram dan nyaman",6866203732258849793
12/02/2025,"lulus kuliah otw jepang
#kaburajadulu",6647052189577723906
11/02/2025,"rata"" yg kerja diluar negeri itu punya mimpi yg ga bakalan di capai kalo tetep diem di indo",7166550155654972421
11/02/2025,pantes gen z kebanyakan fokus karir,7424090900224476166
13/02/2025,duluan bang gua ke malaysia,6947954543523922946
11/02/2025,"dulu #dirumahaja
sekarang #kaburajadulu 😂",7137297856050070534
12/02/2025,"BOCIL BOCIL INDO LAWAK JUGA YA WKWK,BUKAN NYA MEMBANGUN NEGERI TAPI MALAH MENGHANCURKAN NEGERI,INI LAH YG DI MAKSUD GENERASI EMAS? IYA SIH GENERASI EMAS TAPI EMAS NYA EMAS TAI WKWK",7080809172505953281
12/02/2025,"Ada bener nya juga nih abang ini👍,Kita seharusnya membangun negeri ini meski pemerintah nya begitu,kita rakyat,kita punya hak menurunkan pemerintah yang seenaknya.",7429404045720962054
12/02/2025,komennya keliatan gampang yh 😂,7044061302994224129
12/02/2025,bentar lagi kami akan pakai hastag #kaburajadulu,7400253777255973893
12/02/2025,"lulus smk otw jepang
#kaburajadulu",7061087963090469914
13/02/2025,"2019= #dirumahaja
2025= #kaburajadulu
nyambung bat anjir💀",7355898229333115909
12/02/2025,"selesaikan pendidikan mu, lalu kita pergi untuk rehat sejenak
#kaburajadulu",7313568717656736773
12/02/2025,"#kaburajadulu, tapi ga ada duit 😹 yang ikut tren kusus orang mampu aja , dah berusaha gagal terus gw cik",7028888892217492486
11/02/2025,loker kek gais daerah ausie 😭,6954721902565475334
12/02/2025,ganti presiden,7402763847649657862
13/02/2025,"pgn ke malay gw asli
#kaburajadulu",6958365230524744710
12/02/2025,2030 go to swiss🤩,6920464367218951169
15/02/2025,ini bukan fomo tapi untuk kehidupanku sendiri 😹,6966823766510224386
10/02/2025,"gw bertahan aja dah, siapa tau ada revolusi ygy🗿",6766812228677207041
12/02/2025,"lulus sekolah otw Amerika Serikat
#kaburajadulu",7184388216873944066
11/02/2025,Niat + ikut lpk + dapat job + berangkat 😎,80197410615
12/02/2025,"selesai kuliah pindah kewarganegaraan
#kaburajadulu",6827762292248314882
12/02/2025,inikah ramalan the Simpsons Indonesia hilang?,7094041163262788635
12/02/2025,kabur aja dulu mfs when they found out they got scammed and there ain't no way getting back to Indonesia 😂😂,7154145006412186651
11/02/2025,gw yang udah 3 tahun kabur di negeri orang 🤣 #kaburajadulu,6961214733870285830
11/02/2025,aghhh….finally,7147743710539760667
11/02/2025,udh kabur dluan ke Brunei dri 15 thun yg lalu dan skrg jdi mahasiswa disini🙏😹,7354161003837801478
12/02/2025,#KABURAJADULU,7136325823737480194
12/02/2025,hati hati jgn sampe masuk black market kamboja🗿,7279265835737842693
12/02/2025,"thats why i study hard, to leave this damn country",7307246463851021317
15/02/2025,nk lari kemana tu🗿,7093733328416048155
