created_at,full_text,id_str,platform,clean_text,sentiment,confidence
Tue Sep 30 23:48:17 +0000 2025,EMANG BNER GUE #KaburAjaDulu ATP,1973173082253828399,X,EMANG BNER GUE KaburAjaDulu ATP,negatif,99.68
Tue Sep 30 19:41:13 +0000 2025,Wkwkwkw masih aja. Saran saya saatnya #KaburAjaDulu kak,1973110905211855020,X,Wkwkwkw masih aja Saran saya saatnya KaburAjaDulu kak,netral,97.37
Tue Sep 30 15:25:47 +0000 2025,Selamat dan sukses kepada siswa-siswi LPK Yoshimura yang telah lulus berbagai Job di Jepang 🇯🇵 Semoga diberikan kelancaran untuk langkah-langkah selanjutnya keberlimpahan dan keberkahan rezeki #kaburajadulu #lpk #lpkjepang #magang #tokuteiginou #lokerterbaru #lokerjepang https://t.co/ZBtBn9Nti4,1973046626290897319,X,Selamat dan sukses kepada siswa siswi LPK Yoshimura yang telah lulus berbagai Job di Jepang Semoga diberikan kelancaran untuk langkah langkah selanjutnya keberlimpahan dan keberkahan rezeki kaburajadulu lpk lpkjepang magang tokuteiginou lokerterbaru lokerjepang,positif,79.15
Tue Sep 30 14:43:04 +0000 2025,@alestarbluu Sumpahh aku pro ke statement #kaburajadulu dengan statement aku yg mantep bgt itu aku kecewa liat pkn B soalnya biasanya matkul umum tuh gampang dapet A terus aku nulis yg kabur belum tentu gak nasionalis itu bentuk protes mereka karena gak didengar,1973035876054905276,X,Sumpahh aku pro ke statement kaburajadulu dengan statement aku yg mantep bgt itu aku kecewa liat pkn B soalnya biasanya matkul umum tuh gampang dapet A terus aku nulis yg kabur belum tentu gak nasionalis itu bentuk protes mereka karena gak didengar,negatif,99.68
Tue Sep 30 12:47:18 +0000 2025,Manual order shipped safely️ bukunya #KaburAjaDulu Cung yang mau order manual seperti kakaknya ongkir Pulau Jawa lebih murah dari biaya admin shopee guys https://t.co/CJzyrbGqOr,1973006742117298281,X,Manual order shipped safely bukunya KaburAjaDulu Cung yang mau order manual seperti kakaknya ongkir Pulau Jawa lebih murah dari biaya admin shopee guys,positif,96.08
Tue Sep 30 12:36:53 +0000 2025,️ ️️ Tubuhku sudah di Jakarta tapi jiwaku masih ketinggalan di Jepang rasanya. Apakah ini saatnya merealisasikan #kaburajadulu ?? ️ ️ ️️ https://t.co/VIopDrlwuu,1973004118076854624,X,Tubuhku sudah di Jakarta tapi jiwaku masih ketinggalan di Jepang rasanya Apakah ini saatnya merealisasikan kaburajadulu,negatif,96.2
Tue Sep 30 11:55:50 +0000 2025,EMANG ADA BEASISWA BAHASA JEPANG TANPA BATASAN UMUR DAN LOKASI? Jawabannya: ADA DONG! Cuma di @les_kopula! Yuk follow @les_kopula dulu biar gak ketinggalan infonya! Share juga biar temen kalian yang butuh untuk #KaburAjaDulu bisa ikut #BeasiswaKopula ini ya!,1972993790278578594,X,EMANG ADA BEASISWA BAHASA JEPANG TANPA BATASAN UMUR DAN LOKASI Jawabannya ADA DONG Cuma di Yuk follow dulu biar gak ketinggalan infonya Share juga biar temen kalian yang butuh untuk KaburAjaDulu bisa ikut BeasiswaKopula ini ya,netral,65.98
Tue Sep 30 11:12:54 +0000 2025,Serem banget ya masuk ke sistem isinya orang penjilat bukan diliat dari inteligensinya. Mending #kaburajadulu kalo gitu mah️,1972982986196029853,X,Serem banget ya masuk ke sistem isinya orang penjilat bukan diliat dari inteligensinya Mending kaburajadulu kalo gitu mah,negatif,99.76
Tue Sep 30 10:40:42 +0000 2025,@hfizbbk Kerja dulu serabutan 3 tahun.. sampai waktunya sudah mulai lelah maka memutuskan #kaburajadulu,1972974880317669587,X,Kerja dulu serabutan tahun sampai waktunya sudah mulai lelah maka memutuskan kaburajadulu,negatif,99.67
Tue Sep 30 07:20:29 +0000 2025,Ini bagian dari #kaburajadulu ?,1972924493380337917,X,Ini bagian dari kaburajadulu,negatif,78.1
Tue Sep 30 07:19:48 +0000 2025,Bismillah ya #kaburajadulu,1972924323020378549,X,Bismillah ya kaburajadulu,positif,51.09
Tue Sep 30 05:13:49 +0000 2025,Ini inti dari demo 17+8. Ini inti dari kenapa #kaburajadulu jadi pelarian. Ini inti dimana melawan pemerintah adalah hal yang benar jika mereka melakukan penyelewengan. Bukan karena kita nasionalisme kita hilang melainkan karena masih ada kita harus melawan mereka.,1972892619123630304,X,Ini inti dari demo Ini inti dari kenapa kaburajadulu jadi pelarian Ini inti dimana melawan pemerintah adalah hal yang benar jika mereka melakukan penyelewengan Bukan karena kita nasionalisme kita hilang melainkan karena masih ada kita harus melawan mereka,negatif,99.14
Tue Sep 30 04:49:17 +0000 2025,#KaburAjaDulu gih ke Amerika biar lw punya presiden kek gini...,1972886446647439791,X,KaburAjaDulu gih ke Amerika biar lw punya presiden kek gini,negatif,99.09
Tue Sep 30 01:00:22 +0000 2025,@GoodRecom #kaburajadulu bang anak sy yg S1 sj sy gondol keluar negeri.,1972828837739426191,X,kaburajadulu bang anak sy yg S sj sy gondol keluar negeri,negatif,99.12
Tue Sep 30 00:53:49 +0000 2025,EBOOK : PANDUAN Visa Kerja Kanada 2025 DOWNLOAD GRATIS https://t.co/MmdMRpNZdE #lokercot #KaburAjaDulu,1972827188211962039,X,EBOOK PANDUAN Visa Kerja Kanada DOWNLOAD GRATIS lokercot KaburAjaDulu,netral,99.39
Mon Sep 29 21:54:37 +0000 2025,- FE Bisa - BE bisa - DevOps bisa - Design bisa - Bahasa inggris bisa - Gaji 3 Digit bisa #KaburAjaDulu gaszzz!!! kalo di indo yg bisa segala ini gajinya di bawah UMR.,1972782091164385680,X,FE Bisa BE bisa DevOps bisa Design bisa Bahasa inggris bisa Gaji Digit bisa KaburAjaDulu gaszzz kalo di indo yg bisa segala ini gajinya di bawah UMR,positif,55.52
