Topic,Count,Name,Representation,Representative_Docs
-1,5316,-1_kerja_iya_negeri_nya,"['kerja', 'iya', 'negeri', 'nya', 'negri', 'banget', 'anak', 'negara', 'pindah', 'gaji']","['belajar yang pinter biar bisa pindah negara', 'saya juga mau pindah kesingapur gaji sudah dinaikin jadi jt', 'ini orng² kenapa yak wkwk di kira kali modal nya kecil kesana hahaha lucu bngt ngomong-ngomong ini abang di vt udh lama bngt di luar negeri dan diliat lihat seperti mampu buat hastag gitu ngapasi mau kabur tapi ga kabur kabur wkwk lucu ke ln butuh niat yang besar modal duit harus gede biar gak kepontang panting disana belajar bahasa pola pikir mindset diubah biar ga kelihatan sdm nya rendah wkwk siap mental apapun resiko kesana aduh seperti apa yah anjing saya lihat komen hastag gituan seperti sok bngt wkwkwk lucu sih diliat lihat komennya gaji besar disana jika kamu balik ke indo kalau kamu di tempat nya yah gaji kerasa kecilnya karena kenapa serba biaya mahal disana ibaratkan di indonesia saja mau di kasi mahal harganya tantrum kan kamu pada wkwk bagaimana mau ke ln kalau kamu pada baru di kasi harga mahal udh mau kabur saja']"
0,2605,0_nasionalis_dpr_hastag_rakyat,"['nasionalis', 'dpr', 'hastag', 'rakyat', 'anggota', 'iya', 'negara', 'duluan', 'pelopor', 'dibilang']","['katanya wakil rakyat rakyat bikin gerakan kaburajadulu itu dikatain ga nasionalis tapi waktu diajak diskusi sama rakyat kok mereka yang teriak ga nasionalis bahkan kabur duluan', 'hastag kaburajadulu dipermasalahin dibilanvlg gak nasionalis eh skrg bahkan nyuruh kabur gmn sih', 'yang pengen kaburajadulu kan rakyat tapi yang beneran kabur bahkan anggota dpr']"
1,1908,1_percaya_pemerintah_percaya pemerintah_rakyat,"['percaya', 'pemerintah', 'percaya pemerintah', 'rakyat', 'pemerintah percaya', 'rakyat percaya', 'korupsi', 'sm', 'masyarakat', 'percaya sm']","['sudah ga percaya sama pemerintah', 'saya ga percaya saya sudah di gaslight sama mantan saya sekarang saya di gaslight pemerintah', 'ga percaya tarot tapi lebih ga percaya pemerintah']"
2,1084,2_indonesia_indonesiagelap_gelap_cinta,"['indonesia', 'indonesiagelap', 'gelap', 'cinta', 'indonesian', 'gelap yuki', 'kato', 'yuki kato', 'yuki', 'indonesian gelap']","['ini indonesia booyyy bukan sgp', 'indonesia cemas', 'indonesia cemas kaburajadulu']"
3,869,3_kerja negeri_negeri_kerja_negeri kerja,"['kerja negeri', 'negeri', 'kerja', 'negeri kerja', 'pengen kerja', 'cari', 'cari kerja', 'pengen', 'negeri iya', 'remote']","['kerja luar negeri sudah ga ldr lagi', 'kerja di luar negeri', 'cara kerja ke luar negeri']"
4,451,4_jepang_bahasa_belajar_lpk,"['jepang', 'bahasa', 'belajar', 'lpk', 'belajar bahasa', 'japan', 'korea', 'magang', 'lulus', 'pindah']","['dan saya sudah kabur ke jepang', 'yoo kita ke jepang saja', 'jepang bosss']"
5,349,5_indo_kerja indo_indo kerja_kerja,"['indo', 'kerja indo', 'indo kerja', 'kerja', 'gaji', 'org', 'indo iya', 'indo susah', 'jt', 'negri']","['indo mulai berantakan', 'paling sebel ormasnya saya di indo tuh', 'ya sudah sih candain saja lagi di indo']"
6,326,6_nasionalisme_meragukan_nasionalis_bahlil,"['nasionalisme', 'meragukan', 'nasionalis', 'bahlil', 'korupsi', 'pejabat', 'jiwa', 'makan', 'kenyang', 'negara']","['nasionalisme gak bisa menunjang hidup kami pak', 'nasionalisme kita di remehin sama orang yang bahkan tidak punya rasa nasionalisme', 'puguh kabur itu nasionalisme']"
7,234,7_gaji_jt_gajinya_bercanda,"['gaji', 'jt', 'gajinya', 'bercanda', 'gaji jt', 'serius', 'umr', 'juta', 'gaji nya', 'gaji juta']","['saya di jakartaaa leader gudang gaji jutaaaaa', 'kamu mau harapin paan deh gaji', 'kerja capekk gaji bencandaa kaburajadulu']"
8,203,8_malaysia_singapore_malay_singapura,"['malaysia', 'singapore', 'malay', 'singapura', 'susanti', 'taiwan', 'ramai', 'kat', 'gaji', 'indo']","['ke malaysia', 'jangan jauh jauh padahal kaburajadulu mah malaysia', 'malaysia']"
