Kabupaten_Kota,Sektor_1,Sektor_2,Sektor_3,Sektor_4,Sektor_5,Sektor_6,Sektor_7,Sektor_8,Sektor_9,Sektor_10,Sektor_11,Sektor_12,Sektor_13,Sektor_14,Sektor_15,Sektor_16,Sektor_17,Sektor_18,Sektor_19,Sektor_20
Simeulue,162.51,164.53,168.16,190.54,685.73,46.43,46.26,52.78,57.46,202.93,230.12,254.47,254.45,258.91,997.95,439.06,465.25,475.39,506.91,1886.61
Aceh Singkil,137.28,139.34,142.47,149.08,568.17,66.43,70.61,75.14,81.41,293.58,267.69,279.18,285.16,281.97,1114,471.4,489.13,502.77,512.46,1975.75
Aceh Selatan,352.93,363.26,326.93,347.66,1390.78,208.69,214.78,232.23,235.57,891.27,583.74,641.4,646,635.1,2506.24,1145.36,1219.44,1205.17,1218.32,4788.29
Aceh Tenggara,372.29,405.94,342.46,448.05,1568.74,69.91,73.63,80.44,83.77,307.74,466.68,488.34,493.68,500.81,1949.51,908.88,967.9,916.58,1032.64,3825.99
Aceh Timur,1109.86,1073.8,1073.34,1208.4,4465.4,236.25,245.85,266.96,270.36,1019.42,907.56,967.62,983.19,1001.65,3860.01,2253.66,2287.27,2323.48,2480.42,9344.83
Aceh Tengah,706.79,659.46,690.51,820.25,2877.02,258.08,256.3,273.17,274.14,1061.7,729.2,739.58,771.54,752.22,2992.54,1694.06,1655.34,1735.23,1846.62,6931.25
Aceh Barat,975.87,1170.04,1140.77,1208.4,4495.08,209.24,203.8,256.28,291.85,961.18,810.93,778.12,793.93,825.69,3208.67,1996.03,2151.97,2190.98,2325.94,8664.92
Aceh Besar,822.92,693.39,689.82,781.67,2987.79,554.42,586.5,623.53,672.75,2437.2,1507.82,1577.02,1592,1573.35,6250.2,2885.17,2856.91,2905.35,3027.77,11675.2
Pidie,938.56,879.35,886.17,1028.22,3732.3,215.2,226.44,226.63,252.67,920.93,1024.16,1093.22,1098.93,1107.66,4323.97,2177.92,2199.02,2211.72,2388.55,8977.21
Bireuen,889.89,943.72,828.86,1007.69,3670.16,287.85,295.8,300.46,341.64,1225.75,1658.13,1743.68,1755.4,1753.38,6910.58,2835.87,2983.2,2884.71,3102.71,11806.49
Aceh Utara,2507.89,2273.95,2370.38,2599,9751.22,555.83,619.44,612.31,659,2446.58,1494.46,1608.74,1559.7,1585.09,6247.99,4558.18,4502.14,4542.38,4843.09,18445.79
Aceh Barat Daya,261.62,249.88,255.46,241.28,1008.24,130.79,145.82,148.94,154.33,579.88,435.79,470.79,477.14,482.55,1866.28,828.21,866.49,881.54,878.16,3454.39
Gayo Lues,208.96,209.25,200.78,243.71,862.7,95.51,101.62,106.37,109.25,412.75,214.6,231.79,239.77,241.13,927.29,519.06,542.66,546.92,594.09,2202.73
Aceh Tamiang,928.92,857.9,804.84,899.51,3491.17,201.11,186.24,198.29,241.98,827.63,556.49,588.66,597.76,612.67,2355.58,1686.53,1632.8,1600.89,1754.16,6674.38
Nagan Raya,1218.14,1227.38,1224.96,1340.11,5010.59,206.36,211.51,241.56,257.92,917.35,515.2,550.94,559.47,542.06,2167.68,1939.7,1989.83,2025.99,2140.1,8095.62
Aceh Jaya,179,175.01,184.77,208.01,746.78,99.56,112.29,120.27,126.74,458.86,252.59,277.92,268.16,275.84,1074.51,531.14,565.22,573.2,610.59,2280.16
Bener Meriah,516.68,480.49,526.78,641.43,2165.39,179.06,180.64,183.55,180.97,724.22,324.92,336.35,342.83,325.29,1329.39,1020.66,997.47,1053.16,1147.7,4218.99
Pidie Jaya,335.32,327.94,315.52,370.05,1348.84,68.96,71.5,76.73,82.3,299.5,309.61,331.49,345.27,339.85,1326.23,713.9,730.93,737.52,792.2,2974.56
Kota Banda Aceh,53.96,53.4,73.86,91.27,272.48,360.33,359.22,411.02,449.07,1579.64,3833.82,4007.15,4190.31,4234.4,16265.67,4248.1,4419.76,4675.18,4774.73,18117.78
Kota Sabang,23.29,24.08,24.62,26.55,98.54,90.33,94.46,104.54,111.28,400.62,185.73,192.11,192.24,198.99,769.07,299.35,310.65,321.4,336.82,1268.22
Kota Langsa,89.89,91.32,87.07,107.01,375.3,180.73,181.92,186.14,210.47,759.25,824.61,850.18,843.43,866.07,3384.3,1095.24,1123.42,1116.64,1183.56,4518.85
Kota Lhokseumawe,157.61,171.73,170.98,177.55,677.87,601.38,604.38,621.61,651.19,2478.54,1222.36,1261.93,1264.72,1306.01,5055.02,1981.35,2038.04,2057.31,2134.74,8211.43
Kota Subulussalam,97.45,98.93,98.62,105.32,400.32,109.52,117.43,126.67,132.39,486.02,177.96,185.16,186.39,187.41,736.91,384.93,401.52,411.68,425.12,1623.25
