full_text,clean_text,sentiment,confidence,label_final,platform
EMANG BNER GUE #KaburAjaDulu ATP,emang bner saya kaburajadulu atp,negatif,99.65,negatif,X
Wkwkwkw masih aja. Saran saya saatnya #KaburAjaDulu kak,wkwkwkw masih saja saran saya saatnya kaburajadulu kak,netral,95.98,netral,X
Selamat dan sukses kepada siswa-siswi LPK Yoshimura yang telah lulus berbagai Job di Jepang 🇯🇵 Semoga diberikan kelancaran untuk langkah-langkah selanjutnya keberlimpahan dan keberkahan rezeki #kaburajadulu #lpk #lpkjepang #magang #tokuteiginou #lokerterbaru #lokerjepang https://t.co/ZBtBn9Nti4,selamat dan sukses kepada siswa siswi lpk yoshimura yang telah lulus berbagai job di jepang semoga diberikan kelancaran untuk langkah langkah selanjutnya keberlimpahan dan keberkahan rezeki kaburajadulu lpk lpkjepang magang tokuteiginou lokerterbaru lokerjepang,positif,79.15,positif,X
@alestarbluu Sumpahh aku pro ke statement #kaburajadulu dengan statement aku yg mantep bgt itu aku kecewa liat pkn B soalnya biasanya matkul umum tuh gampang dapet A terus aku nulis yg kabur belum tentu gak nasionalis itu bentuk protes mereka karena gak didengar,sumpahh aku profesional ke statement kaburajadulu dengan statement aku yang mantap banget itu aku kecewa lihat pkn b soalnya biasanya matkul umum tuh gampang dapat a terus aku nulis yang kabur belum tentu gak nasionalis itu bentuk protes mereka karena gak didengar,negatif,99.58,negatif,X
Manual order shipped safely️ bukunya #KaburAjaDulu Cung yang mau order manual seperti kakaknya ongkir Pulau Jawa lebih murah dari biaya admin shopee guys https://t.co/CJzyrbGqOr,manual order shipped safely bukunya kaburajadulu cung yang mau order manual seperti kakaknya ongkos kirim pulau jawa lebih murah dari biaya admin shopee teman-teman,positif,81.9,positif,X
️ ️️ Tubuhku sudah di Jakarta tapi jiwaku masih ketinggalan di Jepang rasanya. Apakah ini saatnya merealisasikan #kaburajadulu ?? ️ ️ ️️ https://t.co/VIopDrlwuu,tubuhku sudah di jakarta tapi jiwaku masih ketinggalan di jepang rasanya apakah ini saatnya merealisasikan kaburajadulu,negatif,96.2,negatif,X
Serem banget ya masuk ke sistem isinya orang penjilat bukan diliat dari inteligensinya. Mending #kaburajadulu kalo gitu mah️,serem banget iya masuk ke sistem isinya orang penjilat bukan diliat dari inteligensinya lebih baik kaburajadulu kalau gitu mah,negatif,99.77,negatif,X
@hfizbbk Kerja dulu serabutan 3 tahun.. sampai waktunya sudah mulai lelah maka memutuskan #kaburajadulu,kerja dulu serabutan tahun sampai waktunya sudah mulai lelah maka memutuskan kaburajadulu,negatif,99.67,negatif,X
Ini bagian dari #kaburajadulu ?,ini bagian dari kaburajadulu,negatif,78.1,negatif,X
Ini inti dari demo 17+8. Ini inti dari kenapa #kaburajadulu jadi pelarian. Ini inti dimana melawan pemerintah adalah hal yang benar jika mereka melakukan penyelewengan. Bukan karena kita nasionalisme kita hilang melainkan karena masih ada kita harus melawan mereka.,ini inti dari demo ini inti dari kenapa kaburajadulu jadi pelarian ini inti dimana melawan pemerintah adalah hal yang benar jika mereka melakukan penyelewengan bukan karena kita nasionalisme kita hilang melainkan karena masih ada kita harus melawan mereka,negatif,99.14,negatif,X
#KaburAjaDulu gih ke Amerika biar lw punya presiden kek gini...,kaburajadulu gih ke amerika biar kamu punya presiden seperti gini,negatif,98.54,negatif,X
@GoodRecom #kaburajadulu bang anak sy yg S1 sj sy gondol keluar negeri.,kaburajadulu bang anak saya yang s saja saya gondol keluar negeri,negatif,99.76,negatif,X
EBOOK : PANDUAN Visa Kerja Kanada 2025 DOWNLOAD GRATIS https://t.co/MmdMRpNZdE #lokercot #KaburAjaDulu,ebook panduan visa kerja kanada download gratis lokercot kaburajadulu,netral,99.39,netral,X
@daddyyuki @Delta_tofu @ch4o5Myth 9juta yen si gk kecil hukuman si berat pasti. Selamat menikmati #KaburAjaDulu. Bener2 kabur dr peradaban ,juta yen si gk kecil hukuman si berat pasti selamat menikmati kaburajadulu benar kabur dr peradaban,negatif,99.16,negatif,X
makin pengen #kaburajadulu,makin pengen kaburajadulu,negatif,98.95,negatif,X
