created_at,full_text,id_str,platform,clean_text,topic_id_v2,sentiment,confidence
Tue Sep 30 23:48:17 +0000 2025,EMANG BNER GUE #KaburAjaDulu ATP,1973173082253828399,X,emang bner saya kaburajadulu atp,55,negatif,99.65
Tue Sep 30 19:41:13 +0000 2025,Wkwkwkw masih aja. Saran saya saatnya #KaburAjaDulu kak,1973110905211855020,X,wkwkwkw masih saja saran saya saatnya kaburajadulu kak,0,netral,95.98
Tue Sep 30 15:25:47 +0000 2025,Selamat dan sukses kepada siswa-siswi LPK Yoshimura yang telah lulus berbagai Job di Jepang 🇯🇵 Semoga diberikan kelancaran untuk langkah-langkah selanjutnya keberlimpahan dan keberkahan rezeki #kaburajadulu #lpk #lpkjepang #magang #tokuteiginou #lokerterbaru #lokerjepang https://t.co/ZBtBn9Nti4,1973046626290897319,X,selamat dan sukses kepada siswa siswi lpk yoshimura yang telah lulus berbagai job di jepang semoga diberikan kelancaran untuk langkah langkah selanjutnya keberlimpahan dan keberkahan rezeki kaburajadulu lpk lpkjepang magang tokuteiginou lokerterbaru lokerjepang,4,positif,79.15
Tue Sep 30 14:43:04 +0000 2025,@alestarbluu Sumpahh aku pro ke statement #kaburajadulu dengan statement aku yg mantep bgt itu aku kecewa liat pkn B soalnya biasanya matkul umum tuh gampang dapet A terus aku nulis yg kabur belum tentu gak nasionalis itu bentuk protes mereka karena gak didengar,1973035876054905276,X,sumpahh aku profesional ke statement kaburajadulu dengan statement aku yang mantap banget itu aku kecewa lihat pkn b soalnya biasanya matkul umum tuh gampang dapat a terus aku nulis yang kabur belum tentu gak nasionalis itu bentuk protes mereka karena gak didengar,0,negatif,99.58
Tue Sep 30 12:47:18 +0000 2025,Manual order shipped safely️ bukunya #KaburAjaDulu Cung yang mau order manual seperti kakaknya ongkir Pulau Jawa lebih murah dari biaya admin shopee guys https://t.co/CJzyrbGqOr,1973006742117298281,X,manual order shipped safely bukunya kaburajadulu cung yang mau order manual seperti kakaknya ongkos kirim pulau jawa lebih murah dari biaya admin shopee teman-teman,9,positif,81.9
Tue Sep 30 12:36:53 +0000 2025,️ ️️ Tubuhku sudah di Jakarta tapi jiwaku masih ketinggalan di Jepang rasanya. Apakah ini saatnya merealisasikan #kaburajadulu ?? ️ ️ ️️ https://t.co/VIopDrlwuu,1973004118076854624,X,tubuhku sudah di jakarta tapi jiwaku masih ketinggalan di jepang rasanya apakah ini saatnya merealisasikan kaburajadulu,0,negatif,96.2
Tue Sep 30 11:55:50 +0000 2025,EMANG ADA BEASISWA BAHASA JEPANG TANPA BATASAN UMUR DAN LOKASI? Jawabannya: ADA DONG! Cuma di @les_kopula! Yuk follow @les_kopula dulu biar gak ketinggalan infonya! Share juga biar temen kalian yang butuh untuk #KaburAjaDulu bisa ikut #BeasiswaKopula ini ya!,1972993790278578594,X,emang ada beasiswa bahasa jepang tanpa batasan umur dan lokasi jawabannya ada dong cuma di yuk follow dulu biar gak ketinggalan infonya share juga biar teman kalian yang butuh untuk kaburajadulu bisa ikut beasiswakopula ini iya,4,netral,67.59
Tue Sep 30 07:20:29 +0000 2025,Ini bagian dari #kaburajadulu ?,1972924493380337917,X,ini bagian dari kaburajadulu,0,negatif,78.1
Tue Sep 30 07:19:48 +0000 2025,Bismillah ya #kaburajadulu,1972924323020378549,X,bismillah iya kaburajadulu,59,netral,52.89
Tue Sep 30 05:13:49 +0000 2025,Ini inti dari demo 17+8. Ini inti dari kenapa #kaburajadulu jadi pelarian. Ini inti dimana melawan pemerintah adalah hal yang benar jika mereka melakukan penyelewengan. Bukan karena kita nasionalisme kita hilang melainkan karena masih ada kita harus melawan mereka.,1972892619123630304,X,ini inti dari demo ini inti dari kenapa kaburajadulu jadi pelarian ini inti dimana melawan pemerintah adalah hal yang benar jika mereka melakukan penyelewengan bukan karena kita nasionalisme kita hilang melainkan karena masih ada kita harus melawan mereka,0,negatif,99.14
Tue Sep 30 04:49:17 +0000 2025,#KaburAjaDulu gih ke Amerika biar lw punya presiden kek gini...,1972886446647439791,X,kaburajadulu gih ke amerika biar kamu punya presiden seperti gini,0,negatif,98.54
Tue Sep 30 01:00:22 +0000 2025,@GoodRecom #kaburajadulu bang anak sy yg S1 sj sy gondol keluar negeri.,1972828837739426191,X,kaburajadulu bang anak saya yang s saja saya gondol keluar negeri,19,negatif,99.76
Tue Sep 30 00:53:49 +0000 2025,EBOOK : PANDUAN Visa Kerja Kanada 2025 DOWNLOAD GRATIS https://t.co/MmdMRpNZdE #lokercot #KaburAjaDulu,1972827188211962039,X,ebook panduan visa kerja kanada download gratis lokercot kaburajadulu,19,netral,99.39
Mon Sep 29 21:54:37 +0000 2025,- FE Bisa - BE bisa - DevOps bisa - Design bisa - Bahasa inggris bisa - Gaji 3 Digit bisa #KaburAjaDulu gaszzz!!! kalo di indo yg bisa segala ini gajinya di bawah UMR.,1972782091164385680,X,fe bisa be bisa devops bisa design bisa bahasa inggris bisa gaji digit bisa kaburajadulu gaszzz kalau di indo yang bisa segala ini gajinya di bawah umr,5,negatif,55.64
Mon Sep 29 17:10:28 +0000 2025,makin pengen #kaburajadulu,1972710583305916476,X,makin pengen kaburajadulu,0,negatif,98.95
Mon Sep 29 15:18:06 +0000 2025,Dari pada gaji teu dibayar mending #KaburAjaDulu,1972682303785890079,X,dari pada gaji teu dibayar lebih baik kaburajadulu,9,negatif,98.2
Mon Sep 29 11:54:33 +0000 2025,@iunoverse hari yg indah untuk menjadi pelaku #KaburAjaDulu,1972631080558887350,X,hari yang indah untuk menjadi pelaku kaburajadulu,0,positif,97.98
Mon Sep 29 10:26:49 +0000 2025,@CH1MMYc00kyQT63 Info cara pindah negara #KaburAjaDulu,1972608998164857073,X,informasi cara pindah negara kaburajadulu,19,netral,88.78
Mon Sep 29 10:18:42 +0000 2025,Tiap liat temen yg #kaburajadulu ikutan seneng sih tp aq mau juga ya Allah ,1972606958327963713,X,tiap lihat teman yang kaburajadulu ikutan seneng sih tapi saya mau juga iya allah,0,positif,97.48
Mon Sep 29 09:35:58 +0000 2025,Padahal si bowok ini pernah di tolong orang² levant jordan pas dulu #kaburajadulu,1972596204338057658,X,padahal si bowok ini pernah di tolong orang² levant jordan pas dulu kaburajadulu,0,netral,84.12
Mon Sep 29 09:04:59 +0000 2025,Ya Allah terima kasih sudah diberi kesempatan untuk #KaburAjaDulu dari negara yg kualitas pejabatnya seperti ini ,1972588405868654757,X,iya allah terima kasih sudah diberi kesempatan untuk kaburajadulu dari negara yang kualitas pejabatnya seperti ini,0,positif,87.13
Mon Sep 29 08:09:14 +0000 2025,kualitas PNS terutama di tingkat atas msh jelek kerusakan dr 2022 tidak segera tertangani. alhasil ketika ada MBG yg disalahin MBG nya pdhl baru ada di pertengahan taun ini. jadi selama 2 taun lebih ngapain aja? mau #kaburajadulu tp kasian jg sama ini negara,1972574375774970135,X,kualitas pns terutama di tingkat atas masih jelek kerusakan dr tidak segera tertangani alhasil ketika ada mbg yang disalahin mbg nya pdhl baru ada di pertengahan tahun ini jadi selama tahun lebih sedang apa saja mau kaburajadulu tapi kasian juga sama ini negara,1,negatif,99.71
Mon Sep 29 05:37:07 +0000 2025,@ch4o5Myth @daddyyuki Ini yg kena arus #KaburAjaDulu udah jelas. Dibenarkan banyak netizen genZ. Dr Refa Kashiki s.d Dian (Neo Japan) ngasi paham malah diserang personal. Jaman now walau speak kebenaran tp gk sesuai maunya echo chamber auto diserang personal. Aneh ,1972536092869198202,X,ini yang kena arus kaburajadulu sudah jelas dibenarkan banyak netizen genz dr refa kashiki s di dian neo japan ngasi paham bahkan diserang personal jaman now walau speak kebenaran tapi gk sesuai maunya echo chamber auto diserang personal aneh,0,negatif,99.73
Mon Sep 29 05:31:17 +0000 2025,@Delta_tofu @ch4o5Myth @daddyyuki Itu dia! Dan diberita sana ada dua nama yg kesebut : 1. INDONESIA &gt; Negara Asal 2. MUHAMMAD &gt; Nama Pelaku &gt; nama yg identik dgn umat muslim Gara2 mental kabur aja 2 identitas dirugikan Dari awal gk setuju diksi #KaburAjaDulu Kabur &gt; lari dr sesuatu tanpa mikir panjang ‍️,1972534627463270492,X,itu dia dan diberita sana ada dua nama yang kesebut indonesia begitu negara asal muhammad begitu nama pelaku begitu nama yang identik dengan umat muslim gara mental kabur saja identitas dirugikan dari awal gk setuju diksi kaburajadulu kabur begitu lari dr sesuatu tanpa mikir panjang,2,negatif,99.55
Mon Sep 29 04:30:44 +0000 2025,buat adik-adik SMA bisa pertimbangkan #KaburAjaDulu kuliah Materials Engineering atau Mining-related Engineering di Jerman 🇩🇪 kuliahnya gratis di sana sejak dihapusnya UN jadinya nilai rapor/ijazah SMA Indonesia 🇮🇩 tidak diakui cari cara ya misalnya consult @schoters_com,1972519390412448198,X,buat adik adik sama bisa pertimbangkan kaburajadulu kuliah materials engineering atau mining related engineering di jerman kuliahnya gratis di sana sejak dihapusnya un jadinya nilai rapor ijazah sama indonesia tidak diakui cari cara iya misalnya consult,2,negatif,67.82
Mon Sep 29 01:33:56 +0000 2025,Mana yg dulu teriak2 #KaburAjaDulu?! Waktu menjawab kan! Kalau sudah gini kicep lo pada. PENGECUT! Jangan denger orang2 FOMO dengerlah mereka yg berjuang dr nol jaga nama baik seperti: Refa Enra Dian (neo japan). Bukan malah dimusuhi krn mereka speak yg bener! @ch4o5Myth https://t.co/mhYpVNmAx4,1972474896027619618,X,mana yang dulu teriak kaburajadulu waktu menjawab kan kalau sudah gini kicep kamu pada pengecut jangan denger orang fomo dengerlah mereka yang berjuang dr nol jaga nama baik seperti refa enra dian neo japan bukan bahkan dimusuhi karena mereka speak yang benar,0,negatif,99.21
Mon Sep 29 00:03:15 +0000 2025,Terima kasih kamar ini yang sudah menjadi awal pertualangan yang seru. Sekarang waktunya saya izin meninggalkan tempat ini untuk melebarkan sayap ke negeri yang baru. Bismillah. Semoga dilancarkan di negeri singa keluar air itu #KaburAjaDulu https://t.co/zRLLWhbM97,1972452072722510231,X,terima kasih kamar ini yang sudah menjadi awal pertualangan yang seru sekarang waktunya saya izin meninggalkan tempat ini untuk melebarkan sayap ke negeri yang baru bismillah semoga dilancarkan di negeri singa keluar air itu kaburajadulu,0,positif,98.53
