full_text,clean_text,sentiment,confidence,label_final
bapaku di negri sendiri bisa hasilin 75jt sebulan🙏 #staydinegaraasu,bapaku di negri sendiri bisa hasilin jt sebulan staydinegaraasu,positif,33.78,positif
pergi lah ke tempat dimana kau di hargai,pergi lah ke tempat dimana kamu di hargai,netral,34.22,netral
iya bang q kmrn nyari kerja muter2 pdhl pingin bntu perekonomian kluarga tp susahnya 😭😭ya alloh..,iya bang q kemarin mencari kerja muter pdhl pingin bntu perekonomian keluarga tapi susahnya iya alloh,positif,34.59,positif
aamiinin aja dulu,aamiinin saja dulu,positif,34.82,positif
"mau juga, tapi kehalang restu ortu😅",mau juga tapi kehalang restu orang tua,positif,35.11,positif
"buat yg kerja di LN karena generasi sandwich, misal orang2 yg kalian tanggung ikut tinggal pindah brg kalian tapi ya ikut pindah aja, bukan ikut kerja, kalo di itung2 gaji kalian masih mencukupi dan tetep bisa nabung ga yaa?",buat yang kerja di ln karena generasi sandwich misal orang yang kalian tanggung ikut tinggal pindah bareng kalian tapi iya ikut pindah saja bukan ikut kerja kalau di hitung gaji kalian masih mencukupi dan tetep bisa nabung ga yaa,netral,35.2,netral
kita ckup menonton ya?,kita ckup menonton iya,netral,35.87,netral
Kalian kalo msh ada kesempatan buat milih kerja Mending kerja di luar negeri,kalian kalau masih ada kesempatan buat milih kerja lebih baik kerja di luar negeri,negatif,35.97,negatif
yg masi belain prabowo apalagi pmerentah cobain dah kerja ato tinggal di luar negeri wkwkwkw,yang masi belain prabowo apalagi pmerentah cobain deh kerja atau tinggal di luar negeri wkwkwkw,negatif,36.12,negatif
oke nice info bro makasih,oke nice informasi saudara laki-laki terima kasih,negatif,36.42,negatif
kami nasionalisme terhadap tanah air bukan para pejabat😂,kami nasionalisme terhadap tanah air bukan para pejabat,netral,37.07,netral
pngn tpi smih smp🗿,pngn tapi smih smp,netral,37.43,netral
@st4rjuyz Iya juga sih tapi tergantung negara mana gitu dan bahasanya beda beda coba aja cari website khusus kerja di luar negeri di Google kan banyak,iya juga sih tapi tergantung negara mana gitu dan bahasanya beda beda coba saja cari website khusus kerja di luar negeri di google kan banyak,netral,37.48,netral
"pengen kabur tapi udh terlanjur kuliah smt 2, semoga bisa lulus tepat waktu abis itu cuss #kaburajadulu aamiin",pengen kabur tapi udh terlanjur kuliah smt semoga bisa lulus tepat waktu habis itu cuss kaburajadulu aamiin,negatif,37.53,negatif
Sedang saya usahakan 😭Solusinya punya suami orang LN biar bisa bulak balik biar ga sengsara trus2an di indo🤣🤣,sedang saya usahakan solusinya punya suami orang ln biar bisa bulak balik biar ga sengsara trusan di indo,positif,37.78,positif
paris🤍🧎‍♀️,paris,negatif,37.86,negatif
harus bisa semua skill kalo bisa bang wkwkwk🤣🤣🤣,harus bisa semua skill kalau bisa bang wkwkwk,positif,38.09,positif
cita cita ku hidup 5thn dijepang tapi saat ini masih belum tercapai.,cita cita ku hidup tahun dijepang tapi saat ini masih belum tercapai,positif,38.21,positif
bahkan dia sama kamu ga apple to apple 😌🤏🏻,bahkan dia sama kamu ga apple to apple,netral,38.28,netral
"Aku meh nyang pluto pan, tenang koyone 😭",aku meh nyang pluto pan tenang koyone,netral,38.34,netral
oke sydney pemenangnya #KaburAjaDulu,oke sydney pemenangnya kaburajadulu,negatif,38.53,negatif
"mau juga tp, 🫴🏻💵",mau juga tapi,positif,38.7,positif
