topic_id_v2,negatif,netral,positif,total,pct_negatif,pct_positif,pct_netral,dominant_sentiment,topic_label,keywords_clean,bps_category,rank
0,1906,334,365,2605,73.2,14.0,12.8,negatif,Nasionalis Dpr Hastag Rakyat,"nasionalis, dpr, hastag, rakyat, anggota, iya",Kebijakan Pemerintah,1
1,1727,36,145,1908,90.5,7.6,1.9,negatif,Percaya Pemerintah Percaya Pemerintah Rakyat,"percaya, pemerintah, percaya pemerintah, rakyat, pemerintah percaya, rakyat percaya",Kebijakan Pemerintah,2
2,743,137,204,1084,68.5,18.8,12.6,negatif,Indonesia Indonesiagelap Gelap Cinta,"indonesia, indonesiagelap, gelap, cinta, indonesian, gelap yuki",Lainnya,3
3,424,217,228,869,48.8,26.2,25.0,negatif,Kerja Negeri Negeri Kerja Negeri Kerja,"kerja negeri, negeri, kerja, negeri kerja, pengen kerja, cari",Ketenagakerjaan,4
4,160,166,125,451,35.5,27.7,36.8,netral,Jepang Bahasa Belajar Lpk,"jepang, bahasa, belajar, lpk, belajar bahasa, japan",Migrasi & Ketenagakerjaan LN,5
5,259,28,62,349,74.2,17.8,8.0,negatif,Indo Kerja Indo Indo Kerja Kerja,"indo, kerja indo, indo kerja, kerja, gaji, org",Ketenagakerjaan,6
6,258,20,48,326,79.1,14.7,6.1,negatif,Nasionalisme Meragukan Nasionalis Bahlil,"nasionalisme, meragukan, nasionalis, bahlil, korupsi, pejabat",Kebijakan Pemerintah,7
7,146,51,37,234,62.4,15.8,21.8,negatif,Gaji Jt Gajinya Bercanda,"gaji, jt, gajinya, bercanda, gaji jt, serius",Upah & Kesejahteraan,8
8,107,53,43,203,52.7,21.2,26.1,negatif,Malaysia Singapore Malay Singapura,"malaysia, singapore, malay, singapura, susanti, taiwan",Migrasi & Ketenagakerjaan LN,9
9,133,28,31,192,69.3,16.1,14.6,negatif,Duit Uang Cari Uang Lulus,"duit, uang, cari uang, lulus, cari, biaya",Ketenagakerjaan,10
10,116,16,36,168,69.0,21.4,9.5,negatif,Negara Negara Negara Country Negara Maju,"negara, negara negara, country, negara maju, this country, nya negara",Lainnya,11
11,113,33,21,167,67.7,12.6,19.8,negatif,Duit Dana Uang Duitnya,"duit, dana, uang, duitnya, duit duit, dana talang",Upah & Kesejahteraan,12
12,120,20,19,159,75.5,11.9,12.6,negatif,Meragukan Yok Minimal Ijasah,"meragukan, yok, minimal, ijasah, bukannya, umr",Upah & Kesejahteraan,13
13,110,24,24,158,69.6,15.2,15.2,negatif,Kakak Saingan Ngomong Iri,"kakak, saingan, ngomong, iri, bicara, pengecut",Lainnya,14
14,77,43,33,153,50.3,21.6,28.1,negatif,Laki Abang Saudara Saudara Laki,"laki, abang, saudara, saudara laki, laki laki, adik",Lainnya,15
15,62,26,47,135,45.9,34.8,19.3,negatif,Trend Trend Nya Ikutan Trend Trendnya,"trend, trend nya, ikutan trend, trendnya, ikutan, berakhir",Lainnya,16
16,0,76,44,120,0.0,36.7,63.3,netral,Diakui Menteri Negeri Internasional Menteri,"diakui, menteri negeri, internasional, menteri, hingga, panggung",Migrasi & Ketenagakerjaan LN,17
17,59,28,26,113,52.2,23.0,24.8,negatif,Bahasa Bahasa Asing Asing Belajar Bahasa,"bahasa, bahasa asing, asing, belajar bahasa, belajar, bahasanya",Lainnya,18
18,31,23,56,110,28.2,50.9,20.9,positif,Kocak Aamiin Bjirr Putra,"kocak, aamiin, bjirr, putra, melbourne, tulisan",Lainnya,19
19,45,34,25,104,43.3,24.0,32.7,negatif,Belajar Bahasa Bahasa Kuliah Belajar,"belajar bahasa, bahasa, kuliah, belajar, beasiswa, kewarganegaraan",Pendidikan,20
