clean_text,label,label_num
plan a menikah dan punya keluarga sendiri plan b cari kerja di luar negeri dan tinggal di sana dan sekarang mari kita jalankan plan b,negatif,0
di tegal susah cari yang memberikan gaji segitu merantau juga nambah cost buat ngontrak dan biaya hidup yang lebih mahal paling benar kaburajadulu ke luar negeri nder,negatif,0
aku dr tahun kak,netral,1
informasi loker australia abang,netral,1
ga mau percaya pemerintah percaya tu sm allah,negatif,0
kalau saya so far sih tidak ngefek iya gak ada masalah dan ga ada trust issue ke pemerintah atau aparat in general walaupun kadang kecewa dengan tingkat penanganan kasus topik tertentu tapi in general masih ada rasa percaya,positif,2
selama e ktp saja masih harus di fotokopi kalau ada keperluan apa jangan percaya deh sama yang produk apapun buatan pemerintah yang depannya pakai e iya ga,negatif,0
peak pgn menangis setelah sejak pagi aku dalam diam scroll twitter mana masih kerja tapi gadapet tunjangan apa campur semua dari art yang cantik bantuan dari tmn luar negeri yang bantu makan amp medis saling jaga satu sama lain dan lain-lain indo beneran masih ada harapan kan iya,positif,2
dn ingt kalau g ada gcrd ga bisa balik ke amrik lagi kita kalau misalnya mau ke indo,netral,1
iya kamu pergi sana kalau kamu mampu,negatif,0
baca baik komennya abang,netral,1
kaburajadulu ga sih,negatif,0
kerja sama ekonomi perdagangan dan energi china dengan semua negara termasuk rusia terjustifikasi sah dan tidak dapat dicela demikian disampaikan juru bicara kementerian luar negeri china lin jian pada senin,netral,1
s bjirrrr,positif,2
langsung ulti,positif,2
sd smp juga bisa,netral,1
bukan iri prioritas nya kemana kakak kamu usaha untuk develop negeri sendiri duluan sebelum pengen kaburajadulu kerjaan nya lari saja bukan mau nyelesain masalah negeri,negatif,0
di dewan p penipuan r rakyat,negatif,0
kabur juga butuh duit abang,negatif,0
ambil lah kamu gaji murah pastu keje macam indon eh kamu mmg indon pun generasi muda malaysia kerja di luar negeri lagi lumayan gaji di malaysia hanya cukup untuk indon dan bangla,negatif,0
terima kasih to mas dan para user x lain yang aktif menyuarakan kaburajadulu akhirnya setelah mencoba dan gagal berkali kali dari tahun lalu hari ini dapat offer buat posisi senior qa engineer di salah satu startup di tokyo,positif,2
ntuh pejabat enak betul kaburajadulu padahal mereka yang nentang hastag itu,negatif,0
anak abah yang suka tutup mata gini ini padahal gerindra udh banyak berjasa padahal belum juga setahun,negatif,0
kursus bahasa inggris atau luar negri lainnya bikin paspor atau visa bawa uang sekian juta tergantung negara yang di tuju kurang lebih seperti gitu yang saya tahu bang,netral,1
yang penting halal semoga diluaskan rezeki bang semangat,positif,2
yakin ini pelaku asli pemerintah udh banyak bohong hal kaya gini pun saya udh ga percaya flashback deh penegak hukum selalu cari kambing hitam buat ngereda amarah publik yang penting ada tersangka,negatif,0
nasionalisme tuh maksudnya korupsi pungli beras mahal dan sembilan bahan pokok mahal iya,negatif,0
mungkin lelah atminnya,negatif,0
itu dr jaman pemerintahan siapa dan anda ambil referensi itu dr jaman pemerintahan siapa kalau mau ambil perbandingan hrsnya lihat di jaman soeharto sby prabowo apakah benar tidak ada perubaha dari jaman ke jaman karena dulu nnton saja harus kumpul dirumah tetangga yang punya tv,negatif,0
di hungary gaji di lab dibawah juta padahal lulusan s,negatif,0
bicara doang iya cari lahh,negatif,0
bismillah iya kaburajadulu,netral,1
saya di newzealand sekarang seminggu dapat juta semingu belum lagi parttime ke rs gratis pemerintah perhatian banget sama warganya disini,positif,2
selesaiin s terus langsung gini,negatif,0
iyaaa brand ini scam apaa kamu kerja apa sih wkwkw so tahu banget ini brand produksi di indo tujuanya buat di jual di luar negeri bego sihhh saya kerja di perusahaan gede produksi under armour puma travis mathew adidas mizuna bukan konveksi so tahu banget sih bego,negatif,0
anjay di posting ulang nyai nikmir,negatif,0
bang ikut ndong,netral,1
lah kok bahkan pejabat yang kaburajadulu,negatif,0
budal jepang,positif,2
kenapa ini,negatif,0
meragukan nasionalisme justru saya yang meragukan kepemimpinan anda,negatif,0
bagaimana caranya kakak plisss,netral,1
benar gak si mas kalau mau kerja ke luar ada minimal budget yang harus kita punya di dalam tabungan,netral,1
bangg ikuuutttttt,positif,2
selain ga percaya sm pemerintah w juga ga percaya sm fangirl yang lagi kecewa,negatif,0
betull sesimple itu untuk dapat kepercayaan rakyat tapi iya butuh waktu yang ga sbntar karena udh terlalu rendah tingkat kepercayaan org kita ke pemerintah iya kaya org yang udh sering di php in butuh waktu lama untuk percaya kmbali,negatif,0
sudah pindah belum bang,netral,1
jakarta antara presiden ri prabowo subianto dalam pernyataan bersama ketua umum partai politik di parlemen bersepakat menghapus besaran tunjangan anggota dpr ri serta menerapkan moratorium kunjungan kerja ke luar negeri,netral,1
bang bawa saya,netral,1
silakan pindah bang jangan ditunda tunda,negatif,0
nahhhhh,positif,2
sudah kamu yang ga paham kalau mau edukasi tuh sendiri saja dari yutub bukan dari pemerintah sedang apa segala ngajarin airdop lawak amet kamu pikir airdrop akan cair kalau gak cair gmna pasti pada ngamuk kan dari dlo saya ga percaya indo jadi develop juga ga ada yang bner kabur semua,negatif,0
loh kaburajadulu kan inspirasinya dari kamu sendiri pas kabur ke yordania,negatif,0
kak harusnya ajak aku juga,netral,1
satuju,positif,2
keren sih kamu bang,positif,2
mana berita yang kemarin dia ngatain orang orang kaburajadulu,negatif,0
giman caranya,negatif,0
sebagai polisi grammar wwksksksmgzhzvsbs yh terus belajar sampai pintar dan kerja di luar negeri aamiin,positif,2
mau ikut kabur juga,negatif,0
dpr dulu pas gerakan kaburajadulu kan nyuruh rakyatnya kabur saja ga perlu balik nah sekarang kan kalian yang kabur sudah deh ga perlu balik nanti masalah rumah kalian biar di urus sama masyarakat saja dprbebannegara,negatif,0
the gaslight,positif,2
sometime kita kita lupa luar biasanya kerja sama itu adalah pusaka agung kami mari praktikkan dalam kehidupan sehari hari untuk jaga negara dan capai kemakmuran kolektif bersatu jaga negeri,positif,2
diindo yang kerja gk boleh jelek,negatif,0
sebenernya berusaha buat ga bergantung sama pemerintah tapi kalau di saham ngekor saja arah kebijakan akan kemana karena semakin kesini semakin percaya kalau market maker saham indo itu adalah ownernya sendiri,negatif,0
kami juga meragukan kejadian indonesia,negatif,0
kabur saja kak naik kelas lngsung pindah,negatif,0
bang ikuttt deh ga kuat lihat peraturan ini,negatif,0
boleh bagikan pengalaman kaburajadulu ke jordan pak rakyat tidak akan pernah lupa rakyat akan selalu ingat bahwa pak pernah meninggalkan tanah air untuk menyelamatkan diri ke luar negeri,positif,2
dulu sempat trend hashtag kaburajadulu ehh ternyata bahkan mereka yang kabur,negatif,0
one day,positif,2
iya kabur dl di luar negri dulu etr klu pemerintahan sudah ganti baru balik lagi ke indonesia,negatif,0
kalau emang ada kesempatan pergi saja keluar negri apalgi kalau ada yang keluar negri dan bersekolah di sana sukur berapa tahun kemudian pulang ke indo dan kasih ilmu yang dia dapat di sana dan bikin usaha juga di indo pait pait nya yang memajukan negara kita sebenarnya iya masyarakat nya pemerintah cuman mendukung dan membantu kelancaran kita cuman iya kurang nya dukungan pemerintah jadi buat kita susah mencari jalan keluar nya yagasi,negatif,0
apakah nyamuk juga melakukan kaburajadulu,negatif,0
tips dapat kerja di luar negeri berarti bisa cari istri yang akan kerja ke luar negeri iya pak,netral,1
saran coba mulai nabung dan banyak bljr dari skrg bljr skill baru dan bahasa baru saya lulus sama tidak punya pekerjaan cari kerja sana sini susah dan mulai banyak bljr dari skrg nyesel pas sekola ga bljr skill baru dan lain-lain manfaatin waktu kamu skrg,negatif,0
donasi in aku dong gess,netral,1
sudah jelas jepang lah bang bulan kerja saja gajinya juta keatas lah ini di konoha bulan cuma dapat jutaan itu pun kalau digaji tepat waktu,negatif,0
jangan selesain trend nya iya,negatif,0
kann banyak yang mau kerja di luar negeri,netral,1
berpihak pada rakyat itu jelas jauuuuuuhhhhhh sekali dari memanfaatkan ketakberdayaan rakyat paham bosses prayforindonesia indonesiagelap indonesiacemas indonesia nkri,positif,2
njirr ramai woi,negatif,0
iya bang cerminan pemerintah memang ada pada rakyatnya banyak bersliweran juga dulu yang mau berangkat ke kamboja tanpa pengalaman luar negeri atau visa kerja di cegah karena interview bahkan marah tapi kalau sudah kejadian tetap yang disalahkan pemerintah,negatif,0
