full_text;clean_text;sentiment;confidence;label_final
@DS_yantie Lucunya kemaren #kaburajadulu dihujat dan dikecam pemerintah sekarang malah disuruh keluar. Ini bego atau tolol?;lucunya kemarin kaburajadulu dihujat dan dikecam pemerintah sekarang bahkan disuruh keluar ini bego atau tolol;negatif;99.86;negatif
pemerintah negara pada jahat2 banget ama sesama manusia emang ga pada percaya konsep akhirat kali;pemerintah negara pada jahat banget sama sesama manusia emang ga pada percaya konsep akhirat kali;negatif;99.84;negatif
@kang___L Lo aja gak punya sopan ke rakyat Indonesia malah ngusir warga sendiri keluar negeri hanya gara-gara hashtagh #kaburajadulu;kamu saja gak punya sopan ke rakyat indonesia bahkan ngusir warga sendiri keluar negeri hanya gara gara hashtagh kaburajadulu;negatif;99.84;negatif
Ga percaya pemerintah dan elemen institusi lainnya KORUPTIF;ga percaya pemerintah dan elemen institusi lainnya koruptif;negatif;99.83;negatif
Gedeg bgt liat dpr pada kabur #KaburAjaDulu buat rakyat bukan buat lu pada jing. Ini seleksi dpr gimana sih? Nyari anggota yang dikit dikit kabur;gedeg banget lihat dpr pada kabur kaburajadulu buat rakyat bukan buat kamu pada jing ini seleksi dpr bagaimana sih mencari anggota yang dikit dikit kabur;negatif;99.83;negatif
pliss semoga ntar ak kerja di luar negeri aja muak sama negara ini;pliss semoga nanti saya kerja di luar negeri saja muak sama negara ini;negatif;99.82;negatif
@chunchunchunie_ kita disuruh percaya sama pemerintah dia padahal gara-gara dia rakyat sengsara kaya gini... ga ngerti lagi sumpah ;kita disuruh percaya sama pemerintah dia padahal gara gara dia rakyat sengsara kaya gini ga mengerti lagi sumpah;negatif;99.82;negatif
banyk korupsi, peraturan nyusahin masyarakat, banyak gangster, pemalakan oknum😹, masa iya ga di raguin wkwk;banyk korupsi peraturan nyusahin masyarakat banyak gangster pemalakan oknum masa iya ga di raguin wkwk;negatif;99.82;negatif
kasihan anak anak muda yg kecewa sama Negaranya sendiri;kasihan anak anak muda yang kecewa sama negaranya sendiri;negatif;99.82;negatif
@SiaranBolaLive orang gatau malu giliran dah rusuh #KaburAjaDulu;orang gatau malu giliran deh rusuh kaburajadulu;negatif;99.81;negatif
