created_at,full_text,id_str,lang
Tue Sep 30 23:48:17 +0000 2025,EMANG BNER GUE #KaburAjaDulu ATP,1973173082253828399,in
Tue Sep 30 19:41:13 +0000 2025,Wkwkwkw masih aja. Saran saya saatnya #KaburAjaDulu kak,1973110905211855020,in
Tue Sep 30 15:25:47 +0000 2025,Selamat dan sukses kepada siswa-siswi LPK Yoshimura yang telah lulus berbagai Job di Jepang 🇯🇵 Semoga diberikan kelancaran untuk langkah-langkah selanjutnya keberlimpahan dan keberkahan rezeki #kaburajadulu #lpk #lpkjepang #magang #tokuteiginou #lokerterbaru #lokerjepang https://t.co/ZBtBn9Nti4,1973046626290897319,in
Tue Sep 30 14:43:04 +0000 2025,@alestarbluu Sumpahh aku pro ke statement #kaburajadulu dengan statement aku yg mantep bgt itu aku kecewa liat pkn B soalnya biasanya matkul umum tuh gampang dapet A terus aku nulis yg kabur belum tentu gak nasionalis itu bentuk protes mereka karena gak didengar,1973035876054905276,in
Tue Sep 30 12:47:18 +0000 2025,Manual order shipped safely️ bukunya #KaburAjaDulu Cung yang mau order manual seperti kakaknya ongkir Pulau Jawa lebih murah dari biaya admin shopee guys https://t.co/CJzyrbGqOr,1973006742117298281,in
Tue Sep 30 12:36:53 +0000 2025,️ ️️ Tubuhku sudah di Jakarta tapi jiwaku masih ketinggalan di Jepang rasanya. Apakah ini saatnya merealisasikan #kaburajadulu ?? ️ ️ ️️ https://t.co/VIopDrlwuu,1973004118076854624,in
Tue Sep 30 11:55:50 +0000 2025,EMANG ADA BEASISWA BAHASA JEPANG TANPA BATASAN UMUR DAN LOKASI? Jawabannya: ADA DONG! Cuma di @les_kopula! Yuk follow @les_kopula dulu biar gak ketinggalan infonya! Share juga biar temen kalian yang butuh untuk #KaburAjaDulu bisa ikut #BeasiswaKopula ini ya!,1972993790278578594,in
Tue Sep 30 11:12:54 +0000 2025,Serem banget ya masuk ke sistem isinya orang penjilat bukan diliat dari inteligensinya. Mending #kaburajadulu kalo gitu mah️,1972982986196029853,in
Tue Sep 30 10:40:42 +0000 2025,@hfizbbk Kerja dulu serabutan 3 tahun.. sampai waktunya sudah mulai lelah maka memutuskan #kaburajadulu,1972974880317669587,in
Tue Sep 30 07:20:29 +0000 2025,Ini bagian dari #kaburajadulu ?,1972924493380337917,in
Tue Sep 30 07:19:48 +0000 2025,Bismillah ya #kaburajadulu,1972924323020378549,in
Tue Sep 30 05:13:49 +0000 2025,Ini inti dari demo 17+8. Ini inti dari kenapa #kaburajadulu jadi pelarian. Ini inti dimana melawan pemerintah adalah hal yang benar jika mereka melakukan penyelewengan. Bukan karena kita nasionalisme kita hilang melainkan karena masih ada kita harus melawan mereka.,1972892619123630304,in
Tue Sep 30 04:49:17 +0000 2025,#KaburAjaDulu gih ke Amerika biar lw punya presiden kek gini...,1972886446647439791,in
Tue Sep 30 01:00:22 +0000 2025,@GoodRecom #kaburajadulu bang anak sy yg S1 sj sy gondol keluar negeri.,1972828837739426191,in
Tue Sep 30 00:53:49 +0000 2025,EBOOK : PANDUAN Visa Kerja Kanada 2025 DOWNLOAD GRATIS https://t.co/MmdMRpNZdE #lokercot #KaburAjaDulu,1972827188211962039,in
Mon Sep 29 21:54:37 +0000 2025,- FE Bisa - BE bisa - DevOps bisa - Design bisa - Bahasa inggris bisa - Gaji 3 Digit bisa #KaburAjaDulu gaszzz!!! kalo di indo yg bisa segala ini gajinya di bawah UMR.,1972782091164385680,in
Mon Sep 29 21:54:23 +0000 2025,@daddyyuki @Delta_tofu @ch4o5Myth 9juta yen si gk kecil hukuman si berat pasti. Selamat menikmati #KaburAjaDulu. Bener2 kabur dr peradaban ,1972782030313459949,in
Mon Sep 29 17:10:28 +0000 2025,makin pengen #kaburajadulu,1972710583305916476,in
Mon Sep 29 15:18:06 +0000 2025,Dari pada gaji teu dibayar mending #KaburAjaDulu,1972682303785890079,in
Mon Sep 29 14:53:07 +0000 2025,ya Allah pengen banget direkrut foreign company biar #KaburAjaDulu ,1972676016515502238,in
Mon Sep 29 11:54:33 +0000 2025,@iunoverse hari yg indah untuk menjadi pelaku #KaburAjaDulu,1972631080558887350,in
Mon Sep 29 10:26:49 +0000 2025,@CH1MMYc00kyQT63 Info cara pindah negara #KaburAjaDulu,1972608998164857073,in
Mon Sep 29 10:18:42 +0000 2025,Tiap liat temen yg #kaburajadulu ikutan seneng sih tp aq mau juga ya Allah ,1972606958327963713,in
Mon Sep 29 09:35:58 +0000 2025,Padahal si bowok ini pernah di tolong orang² levant jordan pas dulu #kaburajadulu,1972596204338057658,in
Mon Sep 29 09:26:47 +0000 2025,namun tetap pada keyakinan pushing forward buat #kaburajadulu bener-bener ngepush terus lamaran di luar negri. akan aku temukan employer yang mau cover visa + relocation. bismillah ya allahhhhh!!!!,1972593892588720215,in
Mon Sep 29 09:04:59 +0000 2025,Ya Allah terima kasih sudah diberi kesempatan untuk #KaburAjaDulu dari negara yg kualitas pejabatnya seperti ini ,1972588405868654757,in
Mon Sep 29 08:43:44 +0000 2025,ini komedi papan atas STRAIGHT TO THE POINT (sbnrnya bkn males aja) (tp iya si jd males) #kaburajadulu https://t.co/YOpdDIc4CT,1972583058688852218,in
Mon Sep 29 08:09:14 +0000 2025,kualitas PNS terutama di tingkat atas msh jelek kerusakan dr 2022 tidak segera tertangani. alhasil ketika ada MBG yg disalahin MBG nya pdhl baru ada di pertengahan taun ini. jadi selama 2 taun lebih ngapain aja? mau #kaburajadulu tp kasian jg sama ini negara,1972574375774970135,in
Mon Sep 29 07:50:24 +0000 2025,at this point buat gua opsi #kaburajadulu selalu lebih menarik selama tempat tujuannya punya: 1. Jaminan kesehatan 2. Jaminan pendidikan 3. Kepastian hukum yg lebih baik dari indo. Yg mana ini standard yg rendah banget sebenernya wkwk.,1972569635942994288,in
Mon Sep 29 07:14:00 +0000 2025,#KaburAjaDulu negeri jiran ada juga ,1972560475453059448,in
Mon Sep 29 05:37:07 +0000 2025,@ch4o5Myth @daddyyuki Ini yg kena arus #KaburAjaDulu udah jelas. Dibenarkan banyak netizen genZ. Dr Refa Kashiki s.d Dian (Neo Japan) ngasi paham malah diserang personal. Jaman now walau speak kebenaran tp gk sesuai maunya echo chamber auto diserang personal. Aneh ,1972536092869198202,in
Mon Sep 29 05:32:59 +0000 2025,@daddyyuki @ch4o5Myth Usia 22 bener2 korban FOMO #KaburAjaDulu ‍️,1972535054300782900,in
Mon Sep 29 05:31:17 +0000 2025,@Delta_tofu @ch4o5Myth @daddyyuki Itu dia! Dan diberita sana ada dua nama yg kesebut : 1. INDONESIA &gt; Negara Asal 2. MUHAMMAD &gt; Nama Pelaku &gt; nama yg identik dgn umat muslim Gara2 mental kabur aja 2 identitas dirugikan Dari awal gk setuju diksi #KaburAjaDulu Kabur &gt; lari dr sesuatu tanpa mikir panjang ‍️,1972534627463270492,in
Mon Sep 29 04:30:44 +0000 2025,buat adik-adik SMA bisa pertimbangkan #KaburAjaDulu kuliah Materials Engineering atau Mining-related Engineering di Jerman 🇩🇪 kuliahnya gratis di sana sejak dihapusnya UN jadinya nilai rapor/ijazah SMA Indonesia 🇮🇩 tidak diakui cari cara ya misalnya consult @schoters_com,1972519390412448198,in
