38 Provinsi,
,Angka Partisipasi Kasar (APK) Perguruan Tinggi (PT) Menurut Provinsi
,2025
ACEH,42.81
SUMATERA UTARA,33.04
SUMATERA BARAT,42.32
RIAU,35.3
JAMBI,33.58
SUMATERA SELATAN,27.41
BENGKULU,38.94
LAMPUNG,24.38
KEP. BANGKA BELITUNG,20.89
KEP. RIAU,29.64
DKI JAKARTA,41.78
JAWA BARAT,28.36
JAWA TENGAH,29.7
DI YOGYAKARTA,74.7
JAWA TIMUR,32.4
BANTEN,34.33
BALI,40.69
NUSA TENGGARA BARAT,36.49
NUSA TENGGARA TIMUR,32.09
KALIMANTAN BARAT,23.99
KALIMANTAN TENGAH,25.49
KALIMANTAN SELATAN,28.12
KALIMANTAN TIMUR,40.44
KALIMANTAN UTARA,27.93
SULAWESI UTARA,33.51
SULAWESI TENGAH,38.14
SULAWESI SELATAN,40.28
SULAWESI TENGGARA,39.27
GORONTALO,37.75
SULAWESI BARAT,28.22
MALUKU,42.89
MALUKU UTARA,39.08
PAPUA BARAT,27.99
PAPUA BARAT DAYA,38.22
PAPUA,34.08
PAPUA SELATAN,24.15
PAPUA TENGAH,13.62
PAPUA PEGUNUNGAN,13.34
INDONESIA,32.89
