Golongan Umur,,,,,,,,,,,,
,Angkatan Kerja (AK) Menurut Golongan Umur,,,,,,,,,,,
,Bekerja,,,Jumlah Pengangguran,,,Jumlah AK,,,% Bekerja / AK,,
,2024,,,2024,,,2024,,,2024,,
,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan
15-19,4793947,4977578,-,1034119,1431960,-,5828066,6409538,-,82.26,77.66,-
20-24,13629983,13781148,-,2584181,2497979,-,16214164,16279127,-,84.06,84.66,-
25-29,16296438,16363382,-,1286712,1258842,-,17583150,17622224,-,92.68,92.86,-
30-34,16539766,16780882,-,624915,584544,-,17164681,17365426,-,96.36,96.63,-
35-39,16930409,17038394,-,432530,392036,-,17362939,17430430,-,97.51,97.75,-
40-44,16379755,16601113,-,343439,321531,-,16723194,16922644,-,97.95,98.1,-
45-49,15548307,15867101,-,312391,275437,-,15860698,16142538,-,98.03,98.29,-
50-54,13596816,13878283,-,208089,247373,-,13804905,14125656,-,98.49,98.25,-
55-59,10935536,11278175,-,165940,182491,-,11101476,11460666,-,98.51,98.41,-
60+,17528089,18075948,-,202546,273406,-,17730635,18349354,-,98.86,98.51,-
Total,142179046,144642004,-,7194862,7465599,-,149373908,152107603,-,95.18,95.09,-
