Golongan Umur,,,,,,,,,,,,
,Bukan Angkatan Kerja (BAK) Menurut Golongan Umur (Orang),,,,,,,,,,,
,Sekolah,,,Mengurus Rumah Tangga,,,Lainnya,,,Jumlah BAK,,
,2025,,,2025,,,2025,,,2025,,
,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan
15-19,14264918,13108797,-,1168287,1425648,-,923001,1099098,-,16356206,15633543,-
20-24,2363323,2230917,-,2847726,2883259,-,755057,755469,-,5966106,5869645,-
25-29,130780,111011,-,4322546,4200046,-,361824,410689,-,4815150,4721746,-
30-34,-,7659,-,4434331,4416029,-,316387,264910,-,4756678,4688598,-
35-39,-,1885,-,3901774,3914184,-,234288,247565,-,4143271,4163634,-
40-44,-,282,-,3338183,3519514,-,187541,210052,-,3526851,3729848,-
45-49,-,907,-,2885698,3105683,-,210021,234930,-,3095719,3341520,-
50-54,-,1079,-,2857417,2884723,-,297078,313662,-,3154495,3199464,-
55-59,-,416,-,2774783,2933350,-,485741,543240,-,3261139,3477006,-
60+,-,0,-,9756071,10483961,-,4904428,4855078,-,14660895,15339039,-
Total,16774328,15462953,-,38286816,39766397,-,8675366,8934693,-,63736510,64164043,-
