Provinsi,Indeks Pembangunan Manusia
Aceh,76.23
Sumatera Utara,76.47
Sumatera Barat,77.27
Riau,76.31
Jambi,75.13
Sumatera Selatan,74.76
Bengkulu,75.68
Lampung,73.98
Kepulauan Bangka Belitung,75.26
Kepulauan Riau,80.53
DKI Jakarta,85.05
Jawa Barat,75.9
Jawa Tengah,74.77
DI Yogyakarta,82.48
Jawa Timur,76.13
Banten,77.25
Bali,79.37
Nusa Tenggara Barat,73.97
Nusa Tenggara Timur,69.89
Kalimantan Barat,72.09
Kalimantan Tengah,74.86
Kalimantan Selatan,76.1
Kalimantan Timur,79.39
Kalimantan Utara,74.04
Sulawesi Utara,76.32
Sulawesi Tengah,72.82
Sulawesi Selatan,75.92
Sulawesi Tenggara,74.25
Gorontalo,72.62
Sulawesi Barat,71.16
Maluku,74.09
Maluku Utara,72.52
Papua Barat,68.48
Papua Barat Daya,70.55
Papua,74.69
Papua Selatan,69.54
Papua Tengah,60.64
Papua Pegunungan,54.91
Indonesia,75.9
