38 Provinsi,,,,,,,,,
,Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah,,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2024,,,2024,,,2024,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,190.55,168.71,-,613.98,550.25,-,804.53,718.96,-
SUMATERA UTARA,697.46,623.78,-,530.55,487.14,-,1228.01,1110.92,-
SUMATERA BARAT,139.12,125.69,-,206.62,189.75,-,345.73,315.43,-
RIAU,200.91,183.28,-,291.34,289.76,-,492.25,473.04,-
JAMBI,118.39,120.63,-,147.03,152.08,-,265.42,272.7,-
SUMATERA SELATAN,342.34,310.04,-,641.9,638.81,-,984.24,948.84,-
BENGKULU,94.67,86.71,-,186.69,174.44,-,281.36,261.15,-
LAMPUNG,244.04,239.51,-,697.19,699.8,-,941.23,939.3,-
KEP. BANGKA BELITUNG,30.4,37.09,-,39.55,41.49,-,69.95,78.58,-
KEP. RIAU,112.28,102.23,-,26.03,22.72,-,138.3,124.96,-
DKI JAKARTA,464.93,449.07,-,-,-,-,464.93,449.07,-
JAWA BARAT,2921.52,2780.46,-,927.15,887.89,-,3848.67,3668.35,-
JAWA TENGAH,1835.51,1683.75,-,1868.82,1712.59,-,3704.33,3396.34,-
DI YOGYAKARTA,319.4,316.81,-,126.15,113.66,-,445.55,430.47,-
JAWA TIMUR,1642.69,1589.12,-,2339.99,2304.7,-,3982.69,3893.82,-
BANTEN,615.07,606.52,-,176.54,170.98,-,791.61,777.49,-
BALI,119.31,112.93,-,65.12,63.29,-,184.43,176.21,-
NUSA TENGGARA BARAT,368.54,338.74,-,340.47,319.86,-,709.01,658.6,-
NUSA TENGGARA TIMUR,131.61,126.91,-,995.96,981.02,-,1127.57,1107.94,-
KALIMANTAN BARAT,85.94,94.82,-,250.14,239.17,-,336.08,333.99,-
KALIMANTAN TENGAH,60.17,65.34,-,85.46,83.9,-,145.63,149.24,-
KALIMANTAN SELATAN,80.92,81.22,-,102.39,98.98,-,183.31,180.2,-
KALIMANTAN TIMUR,118.44,118.19,-,102.9,93.69,-,221.34,211.88,-
KALIMANTAN UTARA,23.18,25.06,-,24.65,16.05,-,47.83,41.11,-
SULAWESI UTARA,67.89,59.45,-,118.97,113.85,-,186.85,173.3,-
SULAWESI TENGAH,91.92,79.85,-,287.84,278.48,-,379.76,358.33,-
SULAWESI SELATAN,219.65,228.59,-,516.83,483.17,-,736.48,711.77,-
SULAWESI TENGGARA,82.61,75.77,-,237.1,229.5,-,319.71,305.27,-
GORONTALO,25.46,28.49,-,152.53,141.54,-,177.99,170.03,-
SULAWESI BARAT,27.24,24.55,-,134.95,131.36,-,162.19,155.91,-
MALUKU,41.47,38.83,-,256.21,255.16,-,297.68,293.99,-
MALUKU UTARA,23.41,24.21,-,59.68,55.48,-,83.09,79.69,-
PAPUA BARAT,12.82,15.18,-,97.34,93.11,-,110.16,108.28,-
PAPUA BARAT DAYA,24.04,22.96,-,78.23,73.85,-,102.27,96.81,-
PAPUA,33.68,31.85,-,119.24,129.21,-,152.91,161.07,-
PAPUA SELATAN,5.97,7.14,-,86.23,95.88,-,92.2,103.02,-
PAPUA TENGAH,10.92,13.47,-,297.56,274.06,-,308.48,287.54,-
PAPUA PEGUNUNGAN,12.92,9.64,-,352.51,321.48,-,365.43,331.12,-
INDONESIA,11637.37,11046.59,-,13581.84,13008.13,-,25219.2,24054.72,-
