Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
4/1/00,11554.4,11083.7,22638.1
5/9/01,11236.4,10748.2,21984.6
10/14/01,11279.1,10757.9,22037
15-19,11408.7,10707.7,22116.4
20-24,11440.1,10810,22250
25-29,11531.3,10994.3,22525.6
30-34,11283.3,10855.8,22139.1
35-39,10930.7,10645.8,21576.5
40-44,10351.4,10184.9,20536.2
45-49,9702.9,9667.2,19370.1
50-54,8595.5,8639.6,17235.1
55-59,7327.2,7443.6,14770.8
60-64,5877.3,6053.4,11930.7
65-69,4348,4541.1,8889.1
70-74,2870.8,3117.1,5987.9
75+,2451.7,3164.9,5616.6
Jumlah/Total,142188.6,139415.2,281603.8
,,,
Catatan,,,
Hasil Proyeksi Penduduk Indonesia 2020-2050 Hasil Sensus Penduduk 2020 (Pertengahan tahun/Juni)/ Indonesia Population Projection 2020-2050 Result of Population Census 2020 (mid year/June),,,
