Lapangan Pekerjaan Utama - Tenaga Kerja,,
,Penduduk 15 Tahun Ke Atas yang Bekerja menurut Lapangan Pekerjaan Utama (Orang),
,2024,
,Februari,Agustus
"Pertanian, Kehutanan, dan Perikanan",40720959,40757151
Pertambangan dan Penggalian,1702556,1733523
Industri Pengolahan,18880391,20010758
Pengadaan Listrik dan Gas,360997,355280
"Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",575441,556713
Konstruksi,8645266,9470763
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",27085695,27328692
Transportasi dan Pergudangan,5900351,6199637
Penyediaan Akomodasi dan Makan Minum,11108827,11270801
Informasi dan Komunikasi,1230780,1026529
Jasa Keuangan dan Asuransi,1638487,1711261
Real Estat,479902,559307
Jasa Perusahaan,2214743,2445403
"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",5465768,5093430
Jasa Pendidikan,7259205,7158071
Jasa Kesehatan dan Kegiatan Sosial,2497559,2374984
Jasa Lainnya,6412119,6589701
Total,142179046,144642004
