Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,
,PDRB Triwulanan Atas Dasar Harga Konstan (2010=100) Menurut Lapangan Usaha di Kabupaten/Kota Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,
,Sektor Primer,,,,,Sektor Sekunder,,,,,Sektor Tersier,,,,,PDRB,,,,
,2025,,,,,2025,,,,,2025,,,,,2025,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Simeulue,172.23,184.78,170.3,-,-,44.81,47.52,55.06,-,-,240.5,252.18,270.87,-,-,457.54,484.49,496.23,-,-
Aceh Singkil,141.92,143.96,157.83,-,-,66.15,71.5,75.6,-,-,278.49,291.18,291.4,-,-,486.56,506.64,524.83,-,-
Aceh Selatan,363.27,390.9,362.09,-,-,210.76,215.13,226.85,-,-,610.71,658.93,665.97,-,-,1184.75,1264.95,1254.91,-,-
Aceh Tenggara,392.45,421.94,373.82,-,-,71.4,72.5,75.88,-,-,484.06,514.1,508.53,-,-,947.91,1008.54,958.23,-,-
Aceh Timur,1111.21,1130.59,1144.62,-,-,240.63,249.3,267.04,-,-,967.94,1009.28,1012.15,-,-,2319.78,2389.18,2423.82,-,-
Aceh Tengah,737.72,690.09,716.95,-,-,259.6,260.71,279.99,-,-,751.26,781.16,816.28,-,-,1748.57,1731.96,1813.22,-,-
Aceh Barat,1248.23,1263.6,1274.87,-,-,192.28,196.97,228.93,-,-,827.42,810.71,793.67,-,-,2267.93,2271.28,2297.47,-,-
Aceh Besar,860.31,753.04,751.96,-,-,550.1,589.05,617.66,-,-,1545.26,1654.95,1662.89,-,-,2955.67,2997.04,3032.51,-,-
Pidie,970.24,948.42,962.85,-,-,206.28,205.05,215.07,-,-,1070.57,1145.66,1132.73,-,-,2247.09,2299.14,2310.65,-,-
Bireuen,898.24,1000.41,911.26,-,-,288.34,289.17,292.46,-,-,1735.77,1830.69,1813.21,-,-,2922.35,3120.27,3016.93,-,-
Aceh Utara,2485.66,2443.73,2449.79,-,-,577.68,657.21,644.25,-,-,1586.55,1689.65,1635.08,-,-,4649.89,4790.59,4729.12,-,-
Aceh Barat Daya,266.83,262.95,278.91,-,-,120.21,129.9,139.44,-,-,459.56,508.75,504.01,-,-,846.6,901.59,922.36,-,-
Gayo Lues,219.01,215.91,231.16,-,-,96.19,104.47,104.39,-,-,228.78,242.1,237.33,-,-,543.98,562.48,572.88,-,-
Aceh Tamiang,959.05,901.54,855.36,-,-,206.07,194.51,199.69,-,-,575.38,619.14,618.91,-,-,1740.51,1715.19,1673.96,-,-
Nagan Raya,1281.87,1285.48,1334.22,-,-,210.26,214.8,227.53,-,-,529.3,574.5,565.27,-,-,2021.43,2074.78,2127.02,-,-
Aceh Jaya,176.8,184.3,196.26,-,-,96.1,114.06,122.52,-,-,268.91,277.7,280.37,-,-,541.81,576.06,599.15,-,-
Bener Meriah,549.95,513.23,555.77,-,-,176.26,181.47,184.34,-,-,329.56,348.09,356.41,-,-,1055.78,1042.78,1096.52,-,-
Pidie Jaya,335.82,353.57,341.01,-,-,74.37,74.5,78.08,-,-,334.89,342.85,349.03,-,-,745.08,770.92,768.12,-,-
Kota Banda Aceh,52.36,52.51,73.86,-,-,376.75,363.74,429.23,-,-,4025.58,4226.77,4392.01,-,-,4454.7,4643.03,4895.1,-,-
Kota Sabang,23.78,24.6,25.55,-,-,91.56,94.97,104.99,-,-,193.59,203.85,204.32,-,-,308.93,323.42,334.86,-,-
Kota Langsa,95.77,96.75,93.52,-,-,186.82,187.39,190.02,-,-,855.6,888.48,884.24,-,-,1138.19,1172.62,1167.78,-,-
Kota Lhokseumawe,158.16,168.24,168.06,-,-,608.57,616.23,635.42,-,-,1290.92,1344.89,1342.2,-,-,2057.65,2129.36,2145.68,-,-
Kota Subulussalam,102.42,102.93,106.48,-,-,112.07,119.78,131.7,-,-,184.61,195.57,191.45,-,-,399.1,418.28,429.63,-,-
Nias,455.52,463.7,460.27,-,-,73.89,74.39,78.4,-,-,223.95,230.38,234.33,-,-,753.36,768.47,773,-,-
Mandailing Natal,1422.68,1457.2,1475,-,-,598.48,607.38,619.33,-,-,794.18,823.79,794.41,-,-,2815.35,2888.37,2888.74,-,-
Tapanuli Selatan,1702.62,1758.22,1800.32,-,-,478.85,497.09,515.64,-,-,763.23,790.67,776.64,-,-,2944.7,3045.97,3092.59,-,-
Tapanuli Tengah,1015.19,1037.86,1036.72,-,-,430.73,440.07,451.08,-,-,620.27,631.54,644.1,-,-,2066.19,2109.47,2131.9,-,-
Tapanuli Utara,782.66,817.19,817.34,-,-,271.64,274.89,279.06,-,-,711.73,730.19,714.95,-,-,1766.04,1822.27,1811.35,-,-
Toba Samosir,521.65,522.38,532.39,-,-,399.91,410.61,423.87,-,-,727.68,733.38,751.59,-,-,1649.23,1666.37,1707.85,-,-
Labuhan Batu,2202.8,2325.15,2429.38,-,-,2602.29,2682.79,2834.82,-,-,2155.95,2190.73,2155.29,-,-,6961.04,7198.66,7419.49,-,-
Asahan,3521.86,3725.87,3857.61,-,-,1968.95,2007.73,2063.85,-,-,2385.25,2452.05,2487.28,-,-,7876.06,8185.65,8408.74,-,-
Simalungun,4923.34,5104.83,5179.48,-,-,1446.46,1484.55,1508.61,-,-,1998.61,2044.95,2065.11,-,-,8368.4,8634.33,8753.2,-,-
Dairi,879.36,891.7,893.44,-,-,247.36,248.17,255.31,-,-,824.15,844.31,850.18,-,-,1950.86,1984.17,1998.93,-,-
Karo,2402.16,2364.25,2362.61,-,-,420.4,427.08,432.14,-,-,1509.35,1561.67,1572.2,-,-,4331.91,4353,4366.95,-,-
Deli Serdang,2616.6,2701.09,2894.51,-,-,9350.82,9502.76,9828.37,-,-,9313.42,9471.33,9508.67,-,-,21280.83,21675.18,22231.54,-,-
Langkat,4708.09,4915.19,4995.4,-,-,1755.42,1809.86,1895.8,-,-,2235.19,2279.15,2251.7,-,-,8698.71,9004.2,9142.9,-,-
