Provinsi/Kabupaten/Kota/Indonesia,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
,2024
ACEH,10811
Simeulue,8106
Aceh Singkil,9862
Aceh Selatan,9190
Aceh Tenggara,8876
Aceh Timur,9889
Aceh Tengah,11805
Aceh Barat,10548
Aceh Besar,10810
Pidie,11187
Bireuen,10150
Aceh Utara,9374
Aceh Barat Daya,9559
Gayo Lues,9967
Aceh Tamiang,9529
Nagan Raya,9523
Aceh Jaya,11007
Bener Meriah,12360
Pidie Jaya,11274
Kota Banda Aceh,18100
Kota Sabang,12625
Kota Langsa,13133
Kota Lhokseumawe,12694
Kota Subulussalam,8491
SUMATERA UTARA,11460
Nias,7698
Mandailing Natal,10644
Tapanuli Selatan,12213
Tapanuli Tengah,11128
Tapanuli Utara,12382
Toba Samosir / Toba,12960
Labuhan Batu,12102
Asahan,12301
Simalungun,12119
Dairi,11355
Karo,13278
Deli Serdang,13279
Langkat,12080
Nias Selatan,7730
Humbang Hasundutan,8844
Pakpak Bharat,9158
Samosir,9634
Serdang Bedagai,12015
Batu Bara,11373
Padang Lawas Utara,10925
Padang Lawas,9821
Labuhan Batu Selatan,12353
Labuhan Batu Utara,12839
Nias Utara,7189
Nias Barat,6740
Kota Sibolga,12713
Kota Tanjung Balai,12264
Kota Pematang Siantar,13349
Kota Tebing Tinggi,13900
Kota Medan,16069
Kota Binjai,12015
Kota Padangsidimpuan,11964
Kota Gunungsitoli,9056
SUMATERA BARAT,11718
Kepulauan Mentawai,7192
Pesisir Selatan,10211
Solok,10988
Sijunjung,11395
Tanah Datar,11223
Padang Pariaman,11756
Agam,10686
Lima Puluh Kota,10648
Pasaman,9194
Solok Selatan,11240
Dharmasraya,12254
Pasaman Barat,9888
Kota Padang,15458
Kota Solok,12995
Kota Sawah Lunto,11187
Kota Padang Panjang,11840
Kota Bukittinggi,14297
Kota Payakumbuh,14260
Kota Pariaman,13784
RIAU,11857
Kuantan Singingi,11182
Indragiri Hulu,11333
Indragiri Hilir,11050
Pelalawan,12575
Siak,13080
Kampar,12034
Rokan Hulu,10586
Bengkalis,12321
Rokan Hilir,10447
Kepulauan Meranti,8988
Kota Pekanbaru,15212
Kota Dumai,12847
JAMBI,11621
Kerinci,11441
Merangin,11425
Sarolangun,12679
Batang Hari,10872
Muaro Jambi,10007
Tanjung Jabung Timur,10328
Tanjung Jabung Barat,10696
Tebo,11415
Bungo,12820
Kota Jambi,13388
Kota Sungai Penuh,11499
SUMATERA SELATAN,12015
Ogan Komering Ulu,11339
Ogan Komering Ilir,12305
Muara Enim,12291
Lahat,11255
Musi Rawas,11058
Musi Banyuasin,11424
Banyu Asin,11277
Ogan Komering Ulu Selatan,9680
Ogan Komering Ulu Timur,12623
Ogan Ilir,12093
Empat Lawang,10889
Penukal Abab Lematang Ilir,9604
Musi Rawas Utara,11198
Kota Palembang,16150
Kota Prabumulih,13982
Kota Pagar Alam,10245
Kota Lubuklinggau,14672
BENGKULU,11733
Bengkulu Selatan,11040
Rejang Lebong,11385
Bengkulu Utara,11715
Kaur,9742
Seluma,9474
Mukomuko,11665
Lebong,12362
Kepahiang,10620
Bengkulu Tengah,10672
Kota Bengkulu,15542
LAMPUNG,11258
Lampung Barat,10965
Tanggamus,10524
Lampung Selatan,11133
Lampung Timur,11262
Lampung Tengah,12595
Lampung Utara,9837
Way Kanan,10439
Tulangbawang,12122
Pesawaran,9190
Pringsewu,11543
Mesuji,9454
Tulang Bawang Barat,9646
Pesisir Barat,9550
Kota Bandar Lampung,13667
Kota Metro,13092
KEP. BANGKA BELITUNG,13667
Bangka,13205
Belitung,14449
Bangka Barat,13199
Bangka Tengah,13677
Bangka Selatan,12718
Belitung Timur,12610
Kota Pangkal Pinang,16750
KEPULAUAN RIAU,15573
Karimun,13287
Bintan,15078
Natuna,15560
Lingga,12906
Kepulauan Anambas,12983
Kota Batam,19668
Kota Tanjung Pinang,16663
DKI JAKARTA,19953
Kep. Seribu,14110
Kota Jakarta Selatan,25573
Kota Jakarta Timur,19193
Kota Jakarta Pusat,18661
Kota Jakarta Barat,22119
Kota Jakarta Utara,20032
JAWA BARAT,12157
Bogor,11563
Sukabumi,9815
Cianjur,9026
Bandung,11392
Garut,9168
Tasikmalaya,8965
Ciamis,10085
Kuningan,10418
Cirebon,11529
Majalengka,10842
Sumedang,11589
Indramayu,11010
Subang,11894
Purwakarta,13099
Karawang,12942
Bekasi,12500
Bandung Barat,9583
Pangandaran,9654
Kota Bogor,13154
Kota Sukabumi,12252
Kota Bandung,18795
Kota Cirebon,12869
Kota Bekasi,16775
Kota Depok,16640
Kota Cimahi,13278
Kota Tasikmalaya,11431
Kota Banjar,11811
JAWA TENGAH,12276
Cilacap,11868
Banyumas,12960
Purbalingga,11343
Banjarnegara,10595
Kebumen,10176
Purworejo,11584
Wonosobo,11980
Magelang,10926
Boyolali,14195
Klaten,13513
Sukoharjo,12758
Wonogiri,10634
Karanganyar,12732
Sragen,13890
Grobogan,11548
Blora,10926
Rembang,11830
Pati,11829
Kudus,12533
Jepara,11729
Demak,11591
Semarang,13377
Temanggung,10519
Kendal,13277
Batang,10919
Pekalongan,11701
Pemalang,10017
Tegal,10972
Brebes,11389
Kota Magelang,13619
Kota Surakarta,16291
Kota Salatiga,17096
Kota Semarang,16990
Kota Pekalongan,14547
Kota Tegal,14358
D I YOGYAKARTA,15361
Kulon Progo,10990
Bantul,16851
Gunung Kidul,10630
Sleman,17586
Kota Yogyakarta,20603
JAWA TIMUR,12852
Pacitan,10099
Ponorogo,11065
Trenggalek,10872
Tulungagung,11966
Blitar,12020
Kediri,12388
Malang,11190
Lumajang,10124
Jember,10700
Banyuwangi,13320
Bondowoso,11689
Situbondo,11216
Probolinggo,12258
Pasuruan,11617
Sidoarjo,15710
Mojokerto,13903
Jombang,12454
Nganjuk,13376
Madiun,12668
Magetan,12915
Ngawi,12414
Bojonegoro,11204
Tuban,11579
Lamongan,12419
Gresik,14356
Bangkalan,9841
Sampang,9782
Pamekasan,9811
Sumenep,10156
Kota Kediri,13670
Kota Blitar,14933
Kota Malang,17791
Kota Probolinggo,13405
Kota Pasuruan,14664
Kota Mojokerto,14842
Kota Madiun,17518
Kota Surabaya,19666
Kota Batu,14253
BANTEN,13097
Pandeglang,9574
Lebak,9631
Tangerang,13254
Serang,11767
Kota Tangerang,15641
Kota Cilegon,14294
Kota Serang,14603
Kota Tangerang Selatan,17028
BALI,14920
Jembrana,12638
Tabanan,15297
Badung,18556
Gianyar,15577
Klungkung,12358
Bangli,12148
Karangasem,11176
Buleleng,14377
Kota Denpasar,20763
NUSA TENGGARA BARAT,11606
Lombok Barat,12431
Lombok Tengah,11531
Lombok Timur,10571
Sumbawa,10349
Dompu,9971
Bima,9418
Sumbawa Barat,12841
Lombok Utara,10272
Kota Mataram,16514
Kota Bima,12362
NUSA TENGGARA TIMUR,8534
Sumba Barat,8243
Sumba Timur,10280
Kupang,8508
Timor Tengah Selatan,7755
Timor Tengah Utara,7242
Belu,8159
Alor,7806
Lembata,8238
Flores Timur,8505
Sikka,9019
Ende,10009
Ngada,9585
Manggarai,8204
Rote Ndao,7365
Manggarai Barat,8195
Sumba Tengah,6743
Sumba Barat Daya,7358
Nagekeo,8986
Manggarai Timur,6561
Sabu Raijua,6207
Malaka,6879
Kota Kupang,14001
KALIMANTAN BARAT,10321
Sambas,11538
Bengkayang,10208
Landak,8868
Mempawah,9163
Sanggau,9728
Ketapang,10472
Sintang,9657
Kapuas Hulu,8470
Sekadau,8511
Melawi,9596
Kayong Utara,9016
Kubu Raya,10132
Kota Pontianak,16212
Kota Singkawang,12945
KALIMANTAN TENGAH,12303
Kotawaringin Barat,14095
Kotawaringin Timur,13042
Kapuas,12265
Barito Selatan,12508
Barito Utara,11150
Sukamara,9809
Lamandau,12278
Seruyan,10474
Katingan,11691
Pulang Pisau,11207
Gunung Mas,11902
Barito Timur,12576
Murung Raya,11503
Kota Palangka Raya,15188
KALIMANTAN SELATAN,13399
Tanah Laut,12595
Kotabaru,12929
Banjar,13683
Barito Kuala,11168
Tapin,13163
Hulu Sungai Selatan,14150
Hulu Sungai Tengah,13176
Hulu Sungai Utara,10981
Tabalong,13097
Tanah Bumbu,13026
Balangan,12325
Kota Banjarmasin,15714
Kota Banjar Baru,14927
KALIMANTAN TIMUR,13793
Paser,12181
Kutai Barat,11903
Kutai Kartanegara,12957
