38 Provinsi,
,Persentase Tenaga Kerja Informal Sektor Pertanian (Persen)
,2024
ACEH,83.51
SUMATERA UTARA,79.95
SUMATERA BARAT,88.81
RIAU,61.97
JAMBI,74.3
SUMATERA SELATAN,82.68
BENGKULU,88.01
LAMPUNG,89.97
KEP. BANGKA BELITUNG,70.36
KEP. RIAU,69.84
DKI JAKARTA,74.37
JAWA BARAT,86.68
JAWA TENGAH,91.45
DI YOGYAKARTA,95.65
JAWA TIMUR,89.74
BANTEN,91.37
BALI,91.47
NUSA TENGGARA BARAT,96.54
NUSA TENGGARA TIMUR,97.02
KALIMANTAN BARAT,75.41
KALIMANTAN TENGAH,62.3
KALIMANTAN SELATAN,83.54
KALIMANTAN TIMUR,71.98
KALIMANTAN UTARA,77.67
SULAWESI UTARA,83.33
SULAWESI TENGAH,91.15
SULAWESI SELATAN,90.41
SULAWESI TENGGARA,92.57
GORONTALO,85.22
SULAWESI BARAT,94.62
MALUKU,92.37
MALUKU UTARA,93.51
PAPUA BARAT,95.14
PAPUA BARAT DAYA,95.55
PAPUA,95.79
PAPUA SELATAN,92.54
PAPUA TENGAH,99.4
PAPUA PEGUNUNGAN,99.81
INDONESIA,87.31
