38 Provinsi,
,Tingkat Setengah Pengangguran Menurut Provinsi (Persen)
,2024
ACEH,13.79
SUMATERA UTARA,8.71
SUMATERA BARAT,11.11
RIAU,9.12
JAMBI,8.43
SUMATERA SELATAN,9.83
BENGKULU,10.05
LAMPUNG,9.63
KEP. BANGKA BELITUNG,7.41
KEP. RIAU,3.91
DKI JAKARTA,3.98
JAWA BARAT,7.73
JAWA TENGAH,7.48
DI YOGYAKARTA,5.55
JAWA TIMUR,7.06
BANTEN,6.77
BALI,2.35
NUSA TENGGARA BARAT,15.23
NUSA TENGGARA TIMUR,14.9
KALIMANTAN BARAT,8.25
KALIMANTAN TENGAH,5.89
KALIMANTAN SELATAN,7.61
KALIMANTAN TIMUR,4.61
KALIMANTAN UTARA,6.73
SULAWESI UTARA,6.62
SULAWESI TENGAH,8.9
SULAWESI SELATAN,7.93
SULAWESI TENGGARA,8.61
GORONTALO,8.49
SULAWESI BARAT,12.09
MALUKU,12.12
MALUKU UTARA,9.14
PAPUA BARAT,10.9
PAPUA BARAT DAYA,13.72
PAPUA,8.42
PAPUA SELATAN,7.09
PAPUA TENGAH,5.84
PAPUA PEGUNUNGAN,5.89
INDONESIA,7.99
