"Upah Minimum Provinsi (UMP) per Bulan Menurut Provinsi  Indonesia (rupiah), 2021-2024",,,,
,,,,
Provinsi,2021,2022,2023,2024
Aceh,"3,165,031","3,166,460","3,413,666","3,460,672"
Sumatera Utara,"2,499,423","2,522,610","2,710,494","2,809,915"
Sumatera Barat,"2,484,041","2,512,539","2,742,476","2,811,449"
Riau,"2,888,564","2,938,564","3,191,663","3,294,625"
Jambi,"2,630,162","2,698,941","2,943,033","3,037,121"
Sumatera Selatan,"3,144,446","3,144,446","3,404,177","3,456,874"
Bengkulu,"2,215,000","2,238,094","2,418,280","2,507,079"
Lampung,"2,432,002","2,440,486","2,633,285","2,716,497"
Kepulauan Bangka Belitung,"3,230,024","3,264,884","3,498,479","3,640,000"
Kepulauan Riau,"3,005,460","3,050,172","3,279,194","3,402,492"
DKI Jakarta,"4,416,187","4,641,854","4,901,798","5,067,381"
Jawa Barat,"1,810,351","1,841,487","1,986,670","2,057,495"
Jawa Tengah,"1,798,979","1,812,935","1,958,170","2,036,947"
DI Yogyakarta,"1,765,000","1,840,916","1,981,782","2,125,898"
Jawa Timur,"1,868,777","1,891,567","2,040,244","2,165,244"
Banten,"2,460,997","2,501,203","2,661,280","2,727,812"
Bali,"2,494,000","2,516,971","2,713,672","2,813,672"
Nusa Tenggara Barat,"2,183,883","2,207,212","2,371,407","2,444,067"
Nusa Tenggara Timur,"1,950,000","1,975,000","2,123,994","2,186,826"
Kalimantan Barat,"2,399,699","2,434,328","2,608,602","2,702,616"
Kalimantan Tengah,"2,903,145","2,922,516","3,181,013","3,261,616"
Kalimantan Selatan,"2,877,449","2,906,473","3,149,978","3,282,812"
Kalimantan Timur,"2,981,379","3,014,497","3,201,396","3,360,858"
Kalimantan Utara,"3,000,804","3,016,738","3,251,703","3,361,653"
Sulawesi Utara,"3,310,723","3,310,723","3,485,000","3,545,000"
Sulawesi Tengah,"2,303,711","2,390,739","2,599,546","2,736,698"
Sulawesi Selatan,"3,165,876","3,165,876","3,385,145","3,434,298"
Sulawesi Tenggara,"2,552,015","2,576,017","2,758,985","2,885,964"
Gorontalo,"2,788,826","2,800,580","2,989,350","3,025,100"
Sulawesi Barat,"2,678,863","2,678,863","2,871,795","2,914,958"
Maluku,"2,604,961","2,619,313","2,812,828","2,949,953"
Maluku Utara,"2,721,530","2,862,231","2,976,720","3,200,000"
Papua Barat,"3,134,600","3,200,000","3,282,000","3,393,000"
Papua Barat Daya,-,-,…,"4,024,270"
Papua,"3,516,700","3,561,932","3,864,696","4,024,270"
Papua Selatan,-,-,…,"4,024,270"
Papua Tengah,-,-,…,"4,024,270"
Papua Pegunungan,-,-,…,"4,024,270"
Indonesia,"2,672,371","2,687,724","2,729,463","3,125,999"
Catatan:Kompilasi dari berbagai sumber,,,,
Sumber:Kementerian Ketenagakerjaan,,,,
