;Upah Minimum Provinsi di Indonesia;;;
;Tahun 2025;;;
;;;;
No;Provinsi;Upah Minimum (Rp);;
1;Aceh;3.685.616,00;;
2;Sumatera Utara;2.992.559,00;;
3;Sumatera Barat;2.994.193,47;;
4;Riau;3.508.776,22;;
5;Jambi;3.234.535,00;;
6;Sumatera Selatan;3.681.571,00;;
7;Bengkulu;2.670.039,39;;
8;Lampung;2.893.070,00;;
9;Bangka Belitung;3.876.600,00;;
10;Kepulauan Riau;3.623.654,00;;
11;DKI Jakarta;5.396.761,00;;
12;Jawa Barat;2.191.232,18;;
13;Jawa Tengah;2.169.349,00;;
14;DI. Yogyakarta;2.264.080,95;;
15;Jawa Timur;2.305.985,00;;
16;Banten;2.905.119,90;;
17;Bali;2.996.561,00;;
18;Nusa Tenggara Barat;2.602.931,00;;
19;Nusa Tenggara Timur;2.328.969,69;;
20;Kalimantan Barat;2.878.286,00;;
21;Kalimantan Tengah;3.473.621,04;;
22;Kalimantan Selatan;3.496.195,00;;
23;Kalimantan Timur;3.579.313,77;;
24;Kalimantan Utara;3.580.160,00;;
25;Sulawesi Utara;3.775.425,00;;
26;Sulawesi Tengah;2.915.000,00;;
27;Sulawesi Selatan;3.657.527,37;;
28;Sulawesi Tenggara;3.073.551,70;;
29;Gorontalo;3.221.731,00;;
30;Sulawesi Barat;3.104.430,00;;
31;Maluku;3.141.700,00;;
32;Maluku Utara;3.408.000,00;;
33;Papua Barat;3.615.000,00;;
34;Papua Barat Daya;3.614.000,00;;
35;Papua;4.285.850,00;; 
36;Papua Selatan;4.285.850,00;;
37;Papua Tengah;4.285.848,00;;
38;Papua Pegunungan;4.285.850,00;;
Rata-Rata;;3.315.761,65;;
Sumber: Kemnaker RI;;;;
